序号,战器类型,战器品质,子类型,等级,消耗卡魂,材料类型,材料数量,目标战器ID,专属武将,三维加成,加成被动ID,加成被动等级,名字,图标,介绍
id,nType,nQuality,nSubType,nLevel,nCostSoul,nMaterialType,nMaterialValue,nTarCsvID,arrTargets,arrBaseEnhance,arrPassiveIDs,arrPassiveLevs,strName,strSprite,strDesc11
int,int,int,int,int,int,int,int,int,int[10],float[10],int[10],int[10],string,string,string
142,3,4,36,2,450000,35,30,0,49|390|391|1390|0|0|0|0|0|0,45|90|90|90|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·摧城枪,CommonSpear06_Tex,银鞍照白马，飒沓如流星，十步杀一人，千里不留行，大将军之勇，贲、育弗加也。\n【曹仁所属】
143,3,4,36,3,1000000,35,50,0,49|390|391|1390|0|0|0|0|0|0,90|180|180|180|0|0|0|0|0|0,12|17|16|17|-1|-1|-1|-1|-1|-1,1|1|1|1|0|0|0|0|0|0,极·摧城枪,CommonSpear06_Tex,银鞍照白马，飒沓如流星，十步杀一人，千里不留行，大将军之勇，贲、育弗加也。\n【曹仁所属】
144,3,4,36,4,2000000,35,100,6353001,49|390|391|1390|0|0|0|0|0|0,162|288|288|288|0|0|0|0|0|0,12|17|16|17|-1|-1|-1|-1|-1|-1,2|2|2|2|0|0|0|0|0|0,绝·摧城枪,CommonSpear06_Tex,银鞍照白马，飒沓如流星，十步杀一人，千里不留行，大将军之勇，贲、育弗加也。\n【曹仁所属】
145,4,4,37,1,200000,36,20,0,20|394|395|1394|0|0|0|0|0|0,18|36|36|36|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,鹊画弓,CommonBow05_Tex,弓身饰以鹊形，精致而纤细的弓，可系于腰间或藏于袋内携带。以轻巧和精准而闻名，可惜脆弱易折，汉子及性情暴躁者慎用。【孙尚香所属】
146,4,4,37,2,450000,36,30,0,20|394|395|1394|0|0|0|0|0|0,45|90|90|90|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·鹊画弓,CommonBow05_Tex,弓身饰以鹊形，精致而纤细的弓，可系于腰间或藏于袋内携带。以轻巧和精准而闻名，可惜脆弱易折，汉子及性情暴躁者慎用。【孙尚香所属】
147,4,4,37,3,1000000,36,50,0,20|394|395|1394|0|0|0|0|0|0,90|180|180|180|0|0|0|0|0|0,9|5|10|5|-1|-1|-1|-1|-1|-1,1|1|1|1|0|0|0|0|0|0,极·鹊画弓,CommonBow05_Tex,弓身饰以鹊形，精致而纤细的弓，可系于腰间或藏于袋内携带。以轻巧和精准而闻名，可惜脆弱易折，汉子及性情暴躁者慎用。【孙尚香所属】
148,4,4,37,4,2000000,36,100,6453001,20|394|395|1394|0|0|0|0|0|0,162|288|288|288|0|0|0|0|0|0,9|5|10|5|-1|-1|-1|-1|-1|-1,2|2|2|2|0|0|0|0|0|0,绝·鹊画弓,CommonBow05_Tex,弓身饰以鹊形，精致而纤细的弓，可系于腰间或藏于袋内携带。以轻巧和精准而闻名，可惜脆弱易折，汉子及性情暴躁者慎用。【孙尚香所属】
149,3,4,38,1,200000,37,20,0,59|415|416|0|0|0|0|0|0|0,18|36|36|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,魍魉,CommonSpear07_Tex,魍魉者，绣山万藤相思子，花七是也。“魍魉”与“魑魅”乃同时所铸，皆为凶器。\n【颜良所属】
150,3,4,38,2,450000,37,30,0,59|415|416|0|0|0|0|0|0|0,45|90|90|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·魍魉,CommonSpear07_Tex,魍魉者，绣山万藤相思子，花七是也。“魍魉”与“魑魅”乃同时所铸，皆为凶器。\n【颜良所属】
151,3,4,38,3,1000000,37,50,0,59|415|416|0|0|0|0|0|0|0,90|180|180|0|0|0|0|0|0|0,9|19|10|-1|-1|-1|-1|-1|-1|-1,1|1|1|0|0|0|0|0|0|0,极·魍魉,CommonSpear07_Tex,魍魉者，绣山万藤相思子，花七是也。“魍魉”与“魑魅”乃同时所铸，皆为凶器。\n【颜良所属】
152,3,4,38,4,2000000,37,100,6353001,59|415|416|0|0|0|0|0|0|0,162|288|288|0|0|0|0|0|0|0,9|19|10|-1|-1|-1|-1|-1|-1|-1,2|2|2|0|0|0|0|0|0|0,绝·魍魉,CommonSpear07_Tex,魍魉者，绣山万藤相思子，花七是也。“魍魉”与“魑魅”乃同时所铸，皆为凶器。\n【颜良所属】
153,1,4,39,1,200000,38,20,0,36|437|438|459|1438|0|0|0|0|0,18|36|36|36|36|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸海刀,CommonKnife07_Tex,霸海者，江海之主也。铁索横江，怎有往来之船，狂刀霸海，岂容渡江之师。\n【甘宁所属】
154,1,4,39,2,450000,38,30,0,36|437|438|459|1438|0|0|0|0|0,45|90|90|90|90|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·霸海刀,CommonKnife07_Tex,霸海者，江海之主也。铁索横江，怎有往来之船，狂刀霸海，岂容渡江之师。\n【甘宁所属】
155,1,4,39,3,1000000,38,50,0,36|437|438|459|1438|0|0|0|0|0,90|180|180|180|180|0|0|0|0|0,5|10|2|10|2|-1|-1|-1|-1|-1,1|1|1|1|1|0|0|0|0|0,极·霸海刀,CommonKnife07_Tex,霸海者，江海之主也。铁索横江，怎有往来之船，狂刀霸海，岂容渡江之师。\n【甘宁所属】
156,1,4,39,4,2000000,38,100,6153001,36|437|438|459|1438|0|0|0|0|0,162|288|288|288|288|0|0|0|0|0,5|10|2|10|2|-1|-1|-1|-1|-1,2|2|2|2|2|0|0|0|0|0,绝·霸海刀,CommonKnife07_Tex,霸海者，江海之主也。铁索横江，怎有往来之船，狂刀霸海，岂容渡江之师。\n【甘宁所属】
157,4,4,40,1,200000,39,20,0,36|437|438|459|1438|0|0|0|0|0,18|36|36|36|36|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,千浪破,CommonBow05_Tex,千里狂浪，百战沙场，激弦发矢，破敌甚远，引弓射之，无不中者。\n【甘宁所属】
158,4,4,40,2,450000,39,30,0,36|437|438|459|1438|0|0|0|0|0,45|90|90|90|90|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·千浪破,CommonBow05_Tex,千里狂浪，百战沙场，激弦发矢，破敌甚远，引弓射之，无不中者。\n【甘宁所属】
159,4,4,40,3,1000000,39,50,0,36|437|438|459|1438|0|0|0|0|0,90|180|180|180|180|0|0|0|0|0,14|5|19|5|19|-1|-1|-1|-1|-1,1|1|1|1|1|0|0|0|0|0,极·千浪破,CommonBow05_Tex,千里狂浪，百战沙场，激弦发矢，破敌甚远，引弓射之，无不中者。\n【甘宁所属】
160,4,4,40,4,2000000,39,100,6453001,36|437|438|459|1438|0|0|0|0|0,162|288|288|288|288|0|0|0|0|0,14|5|19|5|19|-1|-1|-1|-1|-1,2|2|2|2|2|0|0|0|0|0,绝·千浪破,CommonBow05_Tex,千里狂浪，百战沙场，激弦发矢，破敌甚远，引弓射之，无不中者。\n【甘宁所属】
161,2,4,41,1,200000,40,20,0,52|441|442|460|0|0|0|0|0|0,18|36|36|36|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,思召剑,CommonSword05_Tex,袁绍在黎阳梦神人授一宝剑，及觉，果在卧所，铭曰思召，解思召为绍字。\n【袁绍所属】
162,2,4,41,2,450000,40,30,0,52|441|442|460|0|0|0|0|0|0,45|90|90|90|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·思召剑,CommonSword05_Tex,袁绍在黎阳梦神人授一宝剑，及觉，果在卧所，铭曰思召，解思召为绍字。\n【袁绍所属】
163,2,4,41,3,1000000,40,50,0,52|441|442|460|0|0|0|0|0|0,90|180|180|180|0|0|0|0|0|0,12|4|12|4|-1|-1|-1|-1|-1|-1,1|1|1|1|0|0|0|0|0|0,极·思召剑,CommonSword05_Tex,袁绍在黎阳梦神人授一宝剑，及觉，果在卧所，铭曰思召，解思召为绍字。\n【袁绍所属】
164,2,4,41,4,2000000,40,100,6253001,52|441|442|460|0|0|0|0|0|0,162|288|288|288|0|0|0|0|0|0,12|4|12|4|-1|-1|-1|-1|-1|-1,2|2|2|2|0|0|0|0|0|0,绝·思召剑,CommonSword05_Tex,袁绍在黎阳梦神人授一宝剑，及觉，果在卧所，铭曰思召，解思召为绍字。\n【袁绍所属】
165,1,4,42,1,200000,41,20,0,29|449|450|345|1449|0|0|0|0|0,18|36|36|18|36|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,鬼魇刀,CommonKnife08_Tex,鬼邪侵世，尽除人间丑态；魇魔当道，怒斩世上魍魉。\n【魏延所属】
166,1,4,42,2,450000,41,30,0,29|449|450|345|1449|0|0|0|0|0,45|90|90|45|90|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·鬼魇刀,CommonKnife08_Tex,鬼邪侵世，尽除人间丑态；魇魔当道，怒斩世上魍魉。\n【魏延所属】
167,1,4,42,3,1000000,41,50,0,29|449|450|345|1449|0|0|0|0|0,90|180|180|90|180|0|0|0|0|0,10|10|19|10|10|-1|-1|-1|-1|-1,1|1|1|1|1|0|0|0|0|0,极·鬼魇刀,CommonKnife08_Tex,鬼邪侵世，尽除人间丑态；魇魔当道，怒斩世上魍魉。\n【魏延所属】
168,1,4,42,4,2000000,41,100,6153001,29|449|450|345|1449|0|0|0|0|0,162|288|288|162|288|0|0|0|0|0,10|10|19|10|10|-1|-1|-1|-1|-1,2|2|2|2|2|0|0|0|0|0,绝·鬼魇刀,CommonKnife08_Tex,鬼邪侵世，尽除人间丑态；魇魔当道，怒斩世上魍魉。\n【魏延所属】
169,2,4,43,1,200000,42,20,0,453|0|0|0|0|0|0|0|0|0,36|0|0|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,赤霄剑,CommonSword08_Tex,“刘季在位十二年，以始皇三十四年，于南山得一铁剑，长三尺，铭曰‘赤霄’，大篆书。”\n【汉献帝所属】
170,2,4,43,2,450000,42,30,0,453|0|0|0|0|0|0|0|0|0,90|0|0|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·赤霄剑,CommonSword08_Tex,“刘季在位十二年，以始皇三十四年，于南山得一铁剑，长三尺，铭曰‘赤霄’，大篆书。”\n【汉献帝所属】
171,2,4,43,3,1000000,42,50,0,453|0|0|0|0|0|0|0|0|0,180|0|0|0|0|0|0|0|0|0,12|-1|-1|-1|-1|-1|-1|-1|-1|-1,1|0|0|0|0|0|0|0|0|0,极·赤霄剑,CommonSword08_Tex,“刘季在位十二年，以始皇三十四年，于南山得一铁剑，长三尺，铭曰‘赤霄’，大篆书。”\n【汉献帝所属】
172,2,4,43,4,2000000,42,100,6253001,453|0|0|0|0|0|0|0|0|0,288|0|0|0|0|0|0|0|0|0,12|-1|-1|-1|-1|-1|-1|-1|-1|-1,2|0|0|0|0|0|0|0|0|0,绝·赤霄剑,CommonSword08_Tex,“刘季在位十二年，以始皇三十四年，于南山得一铁剑，长三尺，铭曰‘赤霄’，大篆书。”\n【汉献帝所属】
173,4,4,44,1,200000,43,20,0,17|475|534|0|0|0|0|0|0|0,18|36|36|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,克敌机先,CommonBow06_Tex,“三日行五百，六日赴一千。长于设变，克敌机先。”\n【夏侯渊所属】
174,4,4,44,2,450000,43,30,0,17|475|534|0|0|0|0|0|0|0,45|90|90|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·克敌机先,CommonBow06_Tex,“三日行五百，六日赴一千。长于设变，克敌机先。”\n【夏侯渊所属】
175,4,4,44,3,1000000,43,50,0,17|475|534|0|0|0|0|0|0|0,90|180|180|0|0|0|0|0|0|0,14|16|16|-1|-1|-1|-1|-1|-1|-1,1|1|1|0|0|0|0|0|0|0,极·克敌机先,CommonBow06_Tex,“三日行五百，六日赴一千。长于设变，克敌机先。”\n【夏侯渊所属】
176,4,4,44,4,2000000,43,100,6453001,17|475|534|0|0|0|0|0|0|0,162|288|288|0|0|0|0|0|0|0,14|16|16|-1|-1|-1|-1|-1|-1|-1,2|2|2|0|0|0|0|0|0|0,绝·克敌机先,CommonBow06_Tex,“三日行五百，六日赴一千。长于设变，克敌机先。”\n【夏侯渊所属】
177,2,4,45,1,200000,44,20,0,344|491|536|0|0|0|0|0|0|0,18|36|36|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,青冥剑,CommonSword08_Tex,剑身百龙盘旋，精光内敛，色略黯青。乃吴帝孙权亲赐，追击郡主及刘备，违者立斩。【周泰所属】
178,2,4,45,2,450000,44,30,0,344|491|536|0|0|0|0|0|0|0,45|90|90|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·青冥剑,CommonSword08_Tex,剑身百龙盘旋，精光内敛，色略黯青。乃吴帝孙权亲赐，追击郡主及刘备，违者立斩。【周泰所属】
179,2,4,45,3,1000000,44,50,0,344|491|536|0|0|0|0|0|0|0,90|180|180|0|0|0|0|0|0|0,16|16|16|-1|-1|-1|-1|-1|-1|-1,1|1|1|0|0|0|0|0|0|0,极·青冥剑,CommonSword08_Tex,剑身百龙盘旋，精光内敛，色略黯青。乃吴帝孙权亲赐，追击郡主及刘备，违者立斩。【周泰所属】
180,2,4,45,4,2000000,44,100,6253001,344|491|536|0|0|0|0|0|0|0,162|288|288|0|0|0|0|0|0|0,16|16|16|-1|-1|-1|-1|-1|-1|-1,2|2|2|0|0|0|0|0|0|0,绝·青冥剑,CommonSword08_Tex,剑身百龙盘旋，精光内敛，色略黯青。乃吴帝孙权亲赐，追击郡主及刘备，违者立斩。【周泰所属】
181,3,4,47,1,200000,45,20,0,247|495|0|0|0|0|0|0|0|0,18|36|36|36|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,五行鬼谷杖,CommonSpear08_Tex,取云梦之灵枝，融鬼谷之秘法，天地玄妙，鬼神难测【华佗所属】
182,3,4,47,2,450000,45,30,0,247|495|0|0|0|0|0|0|0|0,45|90|90|90|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·五行鬼谷杖,CommonSpear08_Tex,取云梦之灵枝，融鬼谷之秘法，天地玄妙，鬼神难测【华佗所属】
183,3,4,47,3,1000000,45,50,0,247|495|0|0|0|0|0|0|0|0,90|180|180|180|0|0|0|0|0|0,12|12|-1|-1|-1|-1|-1|-1|-1|-1,1|1|0|0|0|0|0|0|0|0,极·五行鬼谷杖,CommonSpear08_Tex,取云梦之灵枝，融鬼谷之秘法，天地玄妙，鬼神难测【华佗所属】
184,3,4,47,4,2000000,45,100,6353001,247|495|0|0|0|0|0|0|0|0,162|288|288|288|0|0|0|0|0|0,12|12|-1|-1|-1|-1|-1|-1|-1|-1,2|2|0|0|0|0|0|0|0|0,绝·五行鬼谷杖,CommonSpear08_Tex,取云梦之灵枝，融鬼谷之秘法，天地玄妙，鬼神难测【华佗所属】
185,1,4,46,1,200000,46,20,0,31|499|0|0|0|0|0|0|0|0,18|36|0|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,虎煞刀,CommonKnife07_Tex,虎煞天性刚烈，疾恶如仇，遇见邪魔妖怪皆欲吞之而后快【许褚所属】
186,1,4,46,2,450000,46,30,0,31|499|0|0|0|0|0|0|0|0,45|90|0|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·虎煞刀,CommonKnife07_Tex,虎煞天性刚烈，疾恶如仇，遇见邪魔妖怪皆欲吞之而后快【许褚所属】
187,1,4,46,3,1000000,46,50,0,31|499|0|0|0|0|0|0|0|0,90|180|0|0|0|0|0|0|0|0,9|10|-1|-1|-1|-1|-1|-1|-1|-1,1|1|0|0|0|0|0|0|0|0,极·虎煞刀,CommonKnife07_Tex,虎煞天性刚烈，疾恶如仇，遇见邪魔妖怪皆欲吞之而后快【许褚所属】
188,1,4,46,4,2000000,46,100,6153001,31|499|0|0|0|0|0|0|0|0,162|288|0|0|0|0|0|0|0|0,9|10|-1|-1|-1|-1|-1|-1|-1|-1,2|2|0|0|0|0|0|0|0|0,绝·虎煞刀,CommonKnife07_Tex,虎煞天性刚烈，疾恶如仇，遇见邪魔妖怪皆欲吞之而后快【许褚所属】
