序号,技能名,所需士气,过载时间,激活被动技能,特效名称,释放特效(第三系),天气ID,召唤技能ID(0无召唤技能),召唤武将,扩展类型(0:无效|1：智力|2：武力|3：兵力|4：智力目标数影响|5：武力目标数影响|13：兵力目标数影响),扩展条件ID,目标(0友方|1敌方),显示类型|1:强化|2:弱化|3:恢复|4:火计|5:落雷|6:号令|7:无双|8:毒计|9:巨石|10:风阵|11:玄冰|12:冰降|14:天变|15:召唤|16:将魂|17:护盾,伤害类型|1:物理|3:肉搏|4:突击|5:迎击|6:枪击|7:射击|8:贯射|51:武力技能伤害|101:魔法|151:技能伤害|152:火伤|153:雷伤|154:冰伤|155:毒伤|202:PK,类型,范围,持续时间,速度取值,治疗取值,杀伤取值1,杀伤取值2,攻防改变,智力改变,是否包含特殊技,特殊技类型,特殊技参数,指挥技能ID,加成方式（0标量，1系数）,加成参考目标（0：字面值 ，其他：SkillTarget）,持续时间受智力影响系数,可叠加技能,可受将魂技能影响持续时间,过载时间,激活被动技能,特效名称,天气ID,召唤技能ID(0无召唤技能),召唤武将,扩展类型,扩展条件ID,目标(0友方|1敌方),显示类型|1:强化|2:弱化|3:恢复|4:火计|5:落雷|6:号令|7:无双|8:毒计|9:巨石|10:风阵|11:玄冰|12:冰降|,伤害类型|1:物理|3:肉搏|4:突击|5:迎击|6:枪击|7:射击|8:贯射|51:武力技能伤害|101:魔法|151:技能伤害|152:火伤|153:雷伤|154:冰伤|155:毒伤|202:PK,类型,范围,持续时间,速度取值,治疗取值,杀伤取值1,杀伤取值2,攻防改变,智力改变,是否包含特殊技,特殊技类型,特殊技参数,指挥技能ID,加成方式（0标量，1系数）,加成参考目标（0：字面值 ，其他：SkillTarget）,持续时间受智力影响系数,可叠加技能,可受将魂技能影响持续时间,技能简述,技能说明
id,strName,fNeedMoral,nMainOverload,nMainPassiveSkill,strMainFX,strCastFx,nWeatherID,nArrEquipEffectID,strSummonWarrior,nExType,nExCondition,nMainTarget,nMainDisplayType,nDamageType,nMainType,nMainRange,nMainLifeRound,fMainSpeed,fMainBaseCureValue,fMainBaseDamageValue1,fMainBaseDamageValue2,fMainForceEffect,fMainIntelligenceEffect,nMainContainSpecialSkill,nMainSpecialSkillType,strMainSpecialSkillParam,nMainCommanderSkillID,nMainEffectType,nMainRefTarget,fMainLifeRoundOnIntelligence,nMainOnRepeat,nMainLifeRoundOnJianghun,nSubOverload,nSubPassiveSkill,strSubFX,nSubWeatherID,nArrSubEquipEffectID,strSubSummonWarrior,nSubExType,nExSubCondition,nSubTarget,nSubDisplayType,nSubDamageType,nSubType,nSubRange,nSubLifeRound,fSubSpeed,fSubBaseCureValue,fSubBaseDamageValue1,fSubBaseDamageValue2,fSubForceEffect,fSubIntelligenceEffect,nSubContainSpecialSkill,nSubSpecialSkillType,strSubSpecialSkillParam,nSubCommanderSkillID,nSubEffectType,nSubRefTarget,fSubLifeRoundOnIntelligence,nSubOnRepeat,nSubLifeRoundOnJianghun,strBrife,strDesc
int,string,float,int,int,string,string,int,int[3],string,int,int,int,int,int,int,int,int,float,float,float,float,float,float,int,int,string,int,int,int,float,int,int,int,int,string,int,int[3],string,int,int,int,int,int,int,int,int,float,float,float,float,float,float,int,int,string,int,int,int,float,int,int,string,string
20020411,破胆怒吼,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,5,18,1,0,0,0,0.7,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,距离自己最近的敌方部队武力弱化,距离自己最近的敌方部队武力值降低[fed655]15%[-]，基础持续时间[fed655]10[-]秒
20020621,刺耳怒吼,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,2,12,1,0,0,0,0.85,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围的敌方部队武力弱化,自身周围敌方部队武力值降低[fed655]15%[-]，基础持续时间[fed655]12[-]秒
20020801,嫉妒的怒骂,5,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,10,5,1,0,0,0,0.6,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,武力最高的敌方部队及其周围部队武力弱化,敌方武力最高的部队及其周围部队武力值降低[fed655]40%[-]，基础持续时间[fed655]5[-]秒
20020911,红颜魅惑,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,7,10,1,0,0,0,0.4,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,敌方武力最高部队武力弱化,敌方武力最高的部队武力值降低[fed655]60%[-]，基础持续时间[fed655]10[-]秒，实际持续时间受双方智力差距影响
20021211,红颜魅惑,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,7,10,1,0,0,0,0.4,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,敌方武力最高部队武力弱化,敌方武力最高的部队武力值降低[fed655]60%[-]，基础持续时间[fed655]10[-]秒，实际持续时间受双方智力差距影响
20030401,刺耳怒吼,5,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,2,8,1,0,0,0,0.65,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围的敌方部队武力弱化,自身周围敌方部队武力值降低[fed655]15%[-]，基础持续时间[fed655]10[-]秒
20030411,嫉妒的削弱,3,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,10,8,1,0,0,0,0.65,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,武力最高的敌方部队及其周围部队武力弱化,敌方武力最高的部队及其周围部队武力值降低[fed655]15%[-]，基础持续时间[fed655]10[-]秒
20030521,侍者之威,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,10,8,1,0,0,0,0.65,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,武力最高的敌方部队及其周围部队武力弱化,敌方武力最高的部队及其周围部队武力值降低[fed655]15%[-]，基础持续时间[fed655]10[-]秒
20030801,嫉妒的削弱,3,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,10,8,1,0,0,0,0.65,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,武力最高的敌方部队及其周围部队武力弱化,敌方武力最高的部队及其周围部队武力值降低[fed655]15%[-]，基础持续时间[fed655]10[-]秒
20031111,刺耳尖啸,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,5,8,1,0,0,0,0.45,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,距离自己最近的敌方部队武力弱化,距离自己最近的敌方部队武力值降低[fed655]30%[-]，基础持续时间[fed655]8[-]秒
20040111,威压之势,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,3,8,0.6,0,0,0,0.85,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,敌方所有部队武力弱化并减速,对方全体武力减少[fed655]30%[-]，移动速度减少[fed655]40%[-]，基础持续时间[fed655]8[-]秒
20040321,屈人之兵,6,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,2,12,1,0,0,0,0.65,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围的敌方部队武力弱化,自身周围的敌方部队武力值降低[fed655]28%[-]，基础持续时间[fed655]8[-]秒，实际持续时间受双方智力差距影响
20040511,嫉妒的怒骂,5,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,10,5,1,0,0,0,0.6,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,武力最高的敌方部队及其周围部队武力弱化,敌方武力最高的部队及其周围部队武力值降低[fed655]40%[-]，基础持续时间[fed655]5[-]秒
20040521,西凉军战意,6,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,2,8,1,0,0,0,0.68,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围敌方部队武力弱化,自身周围敌方部队武力值降低[fed655]32%[-]，基础持续时间[fed655]8[-]秒，实际持续时间受双方智力差距影响
20040611,愚弄,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,18,12,1,0,0,0,1,0.5,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,敌方智力最高的部队智力弱化,敌方智力最高的部队智力降低[fed655]30%[-]，基础持续时间[fed655]8[-]秒
20040721,破胆怒吼,5,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,5,8,1,0,0,0,0.6,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,距离自己最近的敌方部队武力弱化,距离自己最近的敌方部队武力值降低[fed655]35%[-]，基础持续时间[fed655]10[-]秒
20040811,愚弄,3,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,18,12,1,0,0,0,1,0.5,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,敌方智力最高的部队智力弱化,敌方智力最高的部队智力降低[fed655]30%[-]，基础持续时间[fed655]8[-]秒
20040821,屈人之兵,6,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,2,8,1,0,0,0,0.72,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围的敌方部队武力弱化,自身周围的敌方部队武力值降低[fed655]28%[-]，基础持续时间[fed655]8[-]秒，实际持续时间受双方智力差距影响
20040822,西凉军战意,6,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,2,8,1,0,0,0,0.68,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围敌方部队武力弱化,自身周围敌方部队武力值降低[fed655]32%[-]，基础持续时间[fed655]8[-]秒，实际持续时间受双方智力差距影响
20041121,愚弄,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,18,12,1,0,0,0,1,0.7,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,敌方智力最高的部队智力弱化,敌方智力最高的部队智力降低[fed655]30%[-]，基础持续时间[fed655]8[-]秒
20050211,神·红颜魅惑,4,0,0,Battlefield/SkillPoisonfog_Prefab,,0,0|0|0,0,1,0,1,8,155,10,7,14,1,0,0.0066,0.259,0.3,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,敌方武力最高部队武力弱化并持续损失生命值,敌方武力最高的部队武力值降低[fed655]70%[-]，并每秒损失基础[fed655][dmg_param][-]点生命值，基础持续时间[fed655]14[-]秒，实际伤害值和持续时间受双方智力差距影响
20050311,全体弱化,5,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,3,10,1,0,0,0,0.6,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,敌方所有部队武力弱化,敌方所有部队武力值降低[fed655]15%[-]，基础持续时间[fed655]10[-]秒
20050921,破胆怒吼,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,5,8,1,0,0,0,0.45,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,距离自己最近的敌方部队武力弱化,距离自己最近的敌方部队武力值降低[fed655]55%[-]，基础持续时间[fed655]8[-]秒
20051111,嫉妒的削弱,3,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,10,8,1,0,0,0,0.65,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,武力最高的敌方部队及其周围部队武力弱化,敌方武力最高的部队及其周围部队武力值降低[fed655]15%[-]，基础持续时间[fed655]10[-]秒
20060111,虚脱,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,5,10,0.7,0,0,0,0.85,0,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,距离自己最近的敌方部队武力弱化并减速,距离自己最近的敌方部队武力值降低[fed655]15%[-]，速度降低[fed655]30%[-]，基础持续时间[fed655]10[-]秒
20060201,青龙刀光辉,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,7,8,1,0,0,0,0.6,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,敌方武力最高部队武力弱化,敌方武力最高的部队武力值降低[fed655]40%[-]，基础持续时间[fed655]8[-]秒，实际持续时间受双方智力差距影响
20060301,刺耳怒吼,5,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,2,8,1,0,0,0,0.65,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围的敌方部队武力弱化,自身周围敌方部队武力值降低[fed655]15%[-]，基础持续时间[fed655]10[-]秒
20060302,泥沼,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,8,18,0.7,0,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,距离自己最近的敌方部队及其周围部队减速,距离自己最近的敌方部队及其周围部队速度降低[fed655]30%[-]，基础持续时间[fed655]18[-]秒
20060411,五斗米道,6,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,10,8,1,0,0,0,0.75,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,敌方武力最高部队及其周围部队武力弱化,敌方武力最高的部队及其周围部队武力值降低[fed655]25%[-]，基础持续时间[fed655]8[-]秒，实际持续时间受双方智力差距影响
20060701,真·江贼手段,6,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,2,8,1,0,0,0,0.74,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围敌方部队武力弱化,自身周围敌方部队武力值降低[fed655]26%[-]，基础持续时间[fed655]8[-]秒，实际持续时间受双方智力差距影响
20070421,刺耳怒吼,5,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,2,8,1,0,0,0,0.65,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围的敌方部队武力弱化,自身周围敌方部队武力值降低[fed655]15%[-]，基础持续时间[fed655]10[-]秒
20070701,愚弄,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,18,8,1,0,0,0,1,0.5,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,敌方智力最高的部队智力弱化,敌方智力最高的部队智力降低[fed655]30%[-]，基础持续时间[fed655]8[-]秒
20070801,破胆怒吼,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,5,8,1,0,0,0,0.7,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,距离自己最近的敌方部队武力弱化,距离自己最近的敌方部队武力值降低[fed655]30%[-]，基础持续时间[fed655]10[-]秒
20071021,破口大骂,5,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,8,8,1,0,0,0,0.65,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,距离自己最近的敌方部队及其周围部队武力弱化,距离自己最近的敌方部队及其周围部队武力值降低[fed655]35%[-]，基础持续时间[fed655]8[-]秒
20071211,真·红颜魅惑,4,0,0,Battlefield/SkillPoisonfog_Prefab,,0,0|0|0,0,1,0,1,8,155,10,7,10,1,0,0.0066,0.259,0.4,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,敌方武力最高部队武力弱化并持续损失生命值,敌方武力最高的部队武力值降低[fed655]60%[-]，并每秒损失基础[fed655][dmg_param][-]点生命值，基础持续时间[fed655]10[-]秒，实际伤害值和持续时间受双方智力差距影响
20080201,刺耳怒吼,5,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,2,12,1,0,0,0,0.65,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围的敌方部队武力弱化,自身周围敌方部队武力值降低[fed655]15%[-]，基础持续时间[fed655]10[-]秒
20080211,愚弄,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,18,15,1,0,0,0,1,0.5,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,敌方智力最高的部队智力弱化,敌方智力最高的部队智力降低[fed655]50%[-]，基础持续时间[fed655]15[-]秒
20080321,嫉妒的怒骂,5,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,10,10,1,0,0,0,0.7,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,武力最高的敌方部队及其周围部队武力弱化,敌方武力最高的部队及其周围部队武力值降低[fed655]30%[-]，基础持续时间[fed655]10[-]秒
20080721,名将之威,6,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,2,8,1,0,0,0,0.58,1.5,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围的敌方部队武力弱化，但智力强化,自身周围的敌方部队武力值降低[fed655]42%[-]，但智力值提高[fed655]50%[-]，基础持续时间[fed655]8[-]秒，实际持续时间受双方智力差距影响
20080921,名将之威,6,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,2,8,1,0,0,0,0.58,1.5,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围的敌方部队武力弱化，但智力强化,自身周围的敌方部队武力值降低[fed655]42%[-]，但智力值提高[fed655]50%[-]，基础持续时间[fed655]8[-]秒，实际持续时间受双方智力差距影响
20081201,刺耳怒吼,5,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,2,8,1,0,0,0,0.6,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围敌方部队武力弱化,自身周围敌方部队武力值降低[fed655]15%[-]，基础持续时间[fed655]10[-]秒
20090211,泥沼,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,8,18,0.7,0,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,距离自己最近的敌方部队及其周围部队减速,距离自己最近的敌方部队及其周围部队速度降低[fed655]30%[-]，基础持续时间[fed655]18[-]秒
20090301,愚弄,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,18,15,1,0,0,0,1,0.5,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,敌方智力最高的部队智力弱化,敌方智力最高的部队智力降低[fed655]50%[-]，基础持续时间[fed655]15[-]秒
20090321,真·名将之威,6,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,2,8,1,0,0,0,0.55,1.5,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围的敌方部队武力弱化，但智力强化,自身周围的敌方部队武力值降低[fed655]45%[-]，但智力值提高[fed655]50%[-]，基础持续时间[fed655]8[-]秒，实际持续时间受双方智力差距影响
20090421,真·名将之威,6,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,2,8,1,0,0,0,0.55,1.5,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围的敌方部队武力弱化，但智力强化,自身周围的敌方部队武力值降低[fed655]45%[-]，但智力值提高[fed655]50%[-]，基础持续时间[fed655]8[-]秒，实际持续时间受双方智力差距影响
20090521,刺耳怒吼,5,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,2,8,1,0,0,0,0.65,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围的敌方部队武力弱化,自身周围敌方部队武力值降低[fed655]15%[-]，基础持续时间[fed655]10[-]秒
20090601,刺耳怒吼,5,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,2,8,1,0,0,0,0.65,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身周围的敌方部队武力弱化,自身周围敌方部队武力值降低[fed655]15%[-]，基础持续时间[fed655]10[-]秒
20090611,愚弄,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,18,15,1,0,0,0,1,0.5,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,敌方智力最高的部队智力弱化,敌方智力最高的部队智力降低[fed655]50%[-]，基础持续时间[fed655]15[-]秒
20090621,阵前怒喝,5,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,8,8,1,0,0,0,0.65,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,距离自己最近的敌方部队及其周围部队武力弱化,距离自己最近的敌方部队及其周围部队武力值降低[fed655]35%[-]，基础持续时间[fed655]8[-]秒
20091001,愚弄,4,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,18,15,1,0,0,0,1,0.5,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,敌方智力最高的部队智力弱化,敌方智力最高的部队智力降低[fed655]50%[-]，基础持续时间[fed655]15[-]秒
20091111,阵前怒喝,5,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,8,8,1,0,0,0,0.65,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,距离自己最近的敌方部队及其周围部队武力弱化,距离自己最近的敌方部队及其周围部队武力值降低[fed655]35%[-]，基础持续时间[fed655]8[-]秒
20091201,鬼·武神降临,5,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,3,12,1,0,0,0,0.59,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,敌方所有部队武力弱化,敌方所有部队武力值降低[fed655]41%[-]，基础持续时间[fed655]10[-]秒，实际持续时间受双方智力差距影响
20100111,手下留情,6,0,0,Battlefield/SkillWeaken_Prefab,,0,0|0|0,0,1,0,1,2,0,2,3,10,1,0,0,0,0.5,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,敌方所有部队武力弱化,敌方所有部队武力值降低[fed655]50%[-]，基础持续时间[fed655]10[-]秒，实际持续时间受双方智力差距影响
