序号,引导类型：1剧情2庆典,讲话人ID(-1为玩家其余为npc表中的id）,地点ID（-1为主城其余为关卡id）,任务推进条件（目前为level ID， -1表示无要求）,触发类型 0:城市对话|1:在布阵界面弹出|2:在战斗开始时弹出|3:在战斗过程中弹出|4:在战斗结束时弹出（胜）|5:在战斗结束时弹出（负）6:在章节页面弹出,战斗百分比（关卡过程弹出类）,下一步寻路NPC ID(如果不需要移动直接显示对话/此处填0,下一步附加值（下一步寻路NPC ID为传送点时/此值为关卡id）,奖励类型|0:无奖励|1:卡片|2:卡魂|3:军令|4:星星|5:游戏点卷|6:免费抽卡机会|7:解锁关卡|8:弹出UI|9:开放封地|10:功能开放|11:上阵武将数量|12:强化上限|,奖励值,锚点（1表示此条对白的进度要存入数据库）,寻路头像,背景图片路径,对白内容
2231,1,-1,141,141,4,0,406,141,0,0,0,7,,……你、你病得很重。
2232,1,47,141,141,4,0,406,141,0,0,0,7,,咳咳，我早知道我时日无多了。
2233,1,-1,141,141,4,0,406,141,0,0,0,7,,……你竟然为了曹操，连命都不要了。
2234,1,47,141,141,4,0,406,141,0,0,0,7,,别人都以为主公残暴奸诈，其实主公知人善任，是个好君主。
2235,1,47,141,141,4,0,406,141,0,0,0,7,,以你现在的实力，根本阻拦不了主公的统一。
2236,1,47,141,141,4,0,406,141,0,0,0,7,,谁也阻拦不了，咳咳咳咳。
2237,1,-1,141,141,4,0,406,141,0,0,0,7,,…………你个脑残粉。
2238,1,47,141,141,4,0,406,141,0,0,0,7,,咳咳，只可惜，我等不到那一天了……
2239,1,35,141,141,4,0,406,141,0,0,0,7,,快送军师回去医治！
2240,1,47,141,141,4,0,406,141,0,0,1,7,,咳咳咳咳，死前能与你一战，我也没有遗憾了。
2241,1,405,-1,-1,0,0,405,0,0,0,0,5,,主公……
2242,1,-1,-1,-1,0,0,405,0,0,0,0,5,,生死有命，涵雨妹妹不用难过。
2243,1,405,-1,-1,0,0,405,0,0,0,0,5,,嗯，我们还是赶紧回荆州城[ffdb00]保护皇上[-]要紧。
2244,1,-1,-1,-1,0,0,405,0,0,0,0,5,,郭嘉为了曹操可以牺牲至此，我也不能输给他。
2245,1,-1,-1,-1,0,0,405,0,0,0,0,5,,我们要尽全力保护好汉室江山！
2246,1,405,-1,-1,0,0,405,0,0,0,1,5,,嗯！
2247,1,-1,-1,-1,0,0,402,0,0,0,0,6,,张总管，我们速速启程回荆州吧。
2248,1,402,-1,-1,0,0,402,0,0,0,0,6,,老奴正有此意，英雄我们赶紧走吧。
2249,1,-1,-1,-1,0,0,402,0,0,0,0,6,,张大总管你走错方向了，我们[ff000c]往南边[-]绕回去。
2250,1,402,-1,-1,0,0,402,0,0,0,0,6,,…………你以为你在长征吗？
2251,1,405,-1,-1,0,0,402,0,0,0,0,6,,不要随便穿越！
2252,1,-1,-1,-1,0,0,402,0,0,0,0,6,,以郭嘉的头脑，怎么可能轻易放过我，肯定会在回程的路上埋伏。
2253,1,402,-1,-1,0,0,402,0,0,0,1,6,,………………
2254,1,-1,-1,-1,0,0,402,0,7,142,1,6,,张总管，你也[ffdb00]不希望[-]被抓住吧？
2255,1,402,-1,-1,0,0,402,0,0,0,1,6,,自然自然。那英雄我们便从南边走。
2256,1,405,142,-1,1,0,406,142,0,0,0,7,,主公，这里往前就是[ff000c]南蛮子[-]的地界了，我们要小心。
2257,1,66,142,-1,1,0,406,142,0,0,0,7,,汉人又来了！兄弟们给我上！
2258,1,-1,142,-1,1,0,406,142,0,0,1,7,,……真是说什么来什么啊。
2259,1,66,142,142,4,0,406,142,0,0,0,7,,我没见过你们……
2260,1,-1,142,142,4,0,406,142,0,0,0,7,,我们也没见过你啊！
2261,1,66,142,142,4,0,406,142,7,143,1,7,,快去禀报大王！
2262,1,82,143,143,2,0,406,143,0,0,0,7,,你难道是[ff000c]诸葛亮[-]派来的？
2263,1,82,143,143,2,0,406,143,0,0,0,7,,诸葛亮派来的全给我抓住！
2264,1,-1,143,143,4,0,406,143,0,0,0,7,,我可不是诸葛亮派来的。
2265,1,82,143,143,4,0,406,143,0,0,0,7,,……嘁，你是谁？
2266,1,83,143,143,4,0,406,143,0,0,0,7,,连天子亲军也来助我一臂之力了啊。
2267,1,83,143,143,4,0,406,143,0,0,0,7,,来人，抓住这蛮子。
2268,1,82,143,143,4,0,406,143,0,0,0,7,,喂喂喂！这次不算啊！！
2269,1,83,143,143,4,0,406,143,0,0,0,7,,我抓住了，为什么不算？
2270,1,82,143,143,4,0,406,143,0,0,0,7,,狡猾的中原人……
2271,1,83,143,143,4,0,406,143,0,0,0,7,,这些蛮子已经被制服了，你们可以赶回荆州了。
2272,1,83,143,143,4,0,406,143,0,0,0,7,,后会有期，小英雄。
2273,1,-1,143,143,4,0,406,143,0,0,1,7,,……后会有期。
2274,1,405,-1,-1,0,0,405,0,0,0,0,5,,主公，这就是[ff000c]诸葛亮[-]啊。
2275,1,-1,-1,-1,0,0,405,0,0,0,0,5,,嗯，当时[ffdb00]水镜先生[-]所说的[ffdb00]卧龙[-]，气场果然好强。
2276,1,405,-1,-1,0,0,405,0,0,0,0,5,,是个[ff000c]强敌[-]。
2277,1,-1,-1,-1,0,0,405,0,0,0,0,5,,涵雨妹妹也不弱啦，你可是我的第一军师呢！
2278,1,405,-1,-1,0,0,405,0,0,0,1,5,,嘻嘻嘻~主公，我们快回[ff000c]荆州城[-]吧！
2279,1,-1,-1,-1,0,0,301,0,0,0,0,1,,皇帝老爷！我们讨伐汉中回来了！
2280,1,301,-1,-1,0,0,301,0,0,0,0,1,,我都知道了！英雄这一路实在是辛苦了。
2281,1,-1,-1,-1,0,0,301,0,0,0,0,1,,你在荆州没受到什么危险吧？
2282,1,301,-1,-1,0,0,301,0,0,0,0,1,,曹操派了几次使臣来见，都被我装病敷衍过去了。
2283,1,301,-1,-1,0,0,301,0,0,0,0,1,,现在你回来我可就放心了。
2284,1,-1,-1,-1,0,0,301,0,12,85,1,1,,皇帝老爷别怕！曹军再来，我一定给他们好看！
2285,1,303,-1,-1,0,0,303,0,0,0,0,2,,曹大人送来的酒都喝得差不多了
2286,1,303,-1,-1,0,0,303,0,0,0,0,2,,没酒喝不幸福。
2287,1,-1,-1,-1,0,0,303,0,0,0,0,2,,……大将军，有点出息好吗。
2288,1,303,-1,-1,0,0,303,0,0,0,0,2,,啊！英雄你怎么来了！
2289,1,303,-1,-1,0,0,303,0,0,0,0,2,,英雄，咱们啥时候出发去许都啊？
2290,1,-1,-1,-1,0,0,303,0,0,0,0,2,,不去了。
2291,1,303,-1,-1,0,0,303,0,0,0,0,2,,什么？不去了？
2292,1,-1,-1,-1,0,0,303,0,0,0,0,2,,何大人，你说是许都的酒多，还是这天下的酒比较多？
2293,1,303,-1,-1,0,0,303,0,0,0,0,2,,唉？你等等让我想想……
2294,1,-1,-1,-1,0,0,303,0,0,0,0,2,,你慢慢想吧~
2295,1,1,-1,-1,0,0,303,0,0,0,0,2,,报告主公！
2296,1,1,-1,-1,0,0,303,0,0,0,0,2,,城外有[ff000c]曹操使臣[-]求见。
2297,1,305,-1,-1,0,0,303,0,0,0,0,2,,又派使臣来。
2298,1,-1,-1,-1,0,0,303,0,7,144,1,2,,事已至此，大家都不用再装和谐了。
2299,1,-1,-1,-1,0,0,303,0,0,0,1,2,,涵雨妹妹，我们去接见接见这位使臣。
2300,1,305,144,-1,1,0,306,144,0,0,1,7,,曹操果然起了疑心，居然派了这么多人来荆州。
2301,1,67,144,144,2,0,306,144,0,0,0,7,,我奉曹丞相之命前来迎接圣驾。
2302,1,-1,144,144,2,0,306,144,0,0,0,7,,那先看看能不能过了我这一关吧！
2303,1,-1,144,144,4,0,306,144,0,0,1,7,,去告诉曹丞相，荆州城风水甚好，皇上决定在此[ff000c]常住[-]，不去许都了。
2304,1,305,-1,-1,0,0,305,0,0,0,0,5,,主公，我们现在就正式与曹操为敌了。
2305,1,-1,-1,-1,0,0,305,0,0,0,0,5,,曹操虽然强大，但是因为觊觎皇帝而被很多人敌视。
2306,1,-1,-1,-1,0,0,305,0,0,0,0,5,,我们只要能拉拢[ff000c]东吴[-]，那就可以轻松对抗曹操了。
2307,1,305,-1,-1,0,0,305,0,0,0,0,5,,主公真是越来越有心计了。
2308,1,-1,-1,-1,0,0,305,0,7,145,1,5,,哈哈哈哈，还不是军师大人教得好。
2309,1,-1,-1,-1,0,0,305,0,0,0,1,5,,我们这就出发去[ff000c]江东[-]吧。
2310,1,-1,145,-1,1,0,306,145,0,0,0,7,,这是哪位妹子出游，[ffdb00]侍女[-]竟然全部[ffdb00]佩戴武器[-]。
2311,1,68,145,-1,1,0,306,145,0,0,1,7,,什么人？竟然擅闯我东吴地界。
2312,1,-1,145,145,4,0,306,145,0,0,0,7,,原来是[ff000c]孙尚香[-]小姐，我乃天子亲军，特来拜访孙权将军。
2313,1,68,145,145,4,0,306,145,0,0,1,7,,……那随我来吧。
2314,1,405,-1,-1,0,0,305,0,0,0,0,5,,[ff000c]孙权[-]虽说不及父兄孙坚、孙策善战。
2315,1,405,-1,-1,0,0,305,0,0,0,0,5,,但是深谙制衡治世之道，把东吴管理得井井有条。
2316,1,405,-1,-1,0,0,305,0,0,0,0,5,,要说服他联合抗曹，恐怕没那么容易。
2317,1,69,-1,-1,0,0,305,0,0,0,0,5,,你就是天子亲军的统领？
2318,1,-1,-1,-1,0,0,305,0,0,0,0,5,,正是在下。
2319,1,69,-1,-1,0,0,305,0,0,0,0,5,,天子的命令，我本来是应该遵从的。
2320,1,69,-1,-1,0,0,305,0,0,0,0,5,,但是曹操与东吴并无过节，我没理由无故招惹他。
2321,1,-1,-1,-1,0,0,305,0,0,0,0,5,,可是……
2322,1,69,-1,-1,0,0,305,0,0,0,0,5,,小英雄尽管在此游玩，但是结盟一事，还是算了。
2323,1,405,-1,-1,0,0,305,0,0,0,0,5,,……孙权果然固执。
2324,1,-1,-1,-1,0,0,305,0,0,0,0,5,,还有一个人，也许可以帮我们。
2325,1,405,-1,-1,0,0,305,0,0,0,0,5,,谁？
2326,1,-1,-1,-1,0,0,305,0,0,0,0,5,,东吴的老臣们大多迂腐，只有一个人，谋略过人又勇武善战。
2327,1,-1,-1,-1,0,0,305,0,0,0,0,5,,最重要的是，他长得也很好看~
2328,1,405,-1,-1,0,0,305,0,0,0,0,5,,……[ff000c]周瑜大都督[-]？
2329,1,-1,-1,-1,0,0,305,0,0,0,0,5,,正是，他是孙策的[ffdb00]义弟[-]，孙权对他十分敬重。
2330,1,-1,-1,-1,0,0,305,0,7,146,1,5,,如果能说服周瑜，那孙权必定也会听从。
2331,1,-1,-1,-1,0,0,305,0,0,0,1,5,,我们去江边找[ff000c]周瑜[-]吧。
2332,1,405,146,-1,1,0,306,146,0,0,0,7,,主公，周瑜正在练兵。
2333,1,-1,146,-1,1,0,306,146,0,0,1,7,,那我们也去凑个热闹吧。
2334,1,70,146,146,2,0,306,146,0,0,0,7,,天子亲军也要来陪周某练兵？
2335,1,70,146,146,2,0,306,146,0,0,0,7,,有意思。
2336,1,70,146,146,4,0,306,146,0,0,0,7,,打得痛快。
2337,1,70,146,146,4,0,306,146,0,0,0,7,,你是想来让我劝主公[ffdb00]接受同盟[-]的吧？
2338,1,-1,146,146,4,0,306,146,0,0,0,7,,正是。
2339,1,-1,146,146,4,0,306,146,0,0,0,7,,以[ff000c]曹操[-]的野心，如果真的让他[ffdb00]挟天子以令诸侯[-]。
2340,1,-1,146,146,4,0,306,146,0,0,0,7,,以他的野心一定想要[ffdb00]征讨所有诸侯，一统天下[-]。
2341,1,-1,146,146,4,0,306,146,0,0,0,7,,东吴必然不可能幸免。
2342,1,-1,146,146,4,0,306,146,0,0,0,7,,到那时，就没有任何力量能帮助东吴消灭曹操了。
2343,1,70,146,146,4,0,306,146,0,0,0,7,,…………
2344,1,71,146,146,4,0,306,146,7,147,1,7,,大都督，江边发现[ffdb00]诡异的士兵[-]！
2345,1,-1,147,-1,1,0,306,147,0,0,0,7,,……是[ff000c]曹军[-]！？
2346,1,405,147,-1,1,0,306,147,0,0,0,7,,原来曹操已经把主意打到了东吴头上。
2347,1,-1,147,-1,1,0,306,147,0,0,1,7,,哈哈哈哈，这倒是帮了我一把。
2348,1,-1,147,147,2,0,306,147,0,0,0,7,,莫非曹操是想先从东吴下手，然后[ffdb00]从两侧包围荆州[-]。
2349,1,-1,147,147,2,0,306,147,0,0,0,7,,真够坏心眼的。
2350,1,70,147,147,4,0,306,147,0,0,0,7,,……曹军竟敢犯我东吴。
2351,1,-1,147,147,4,0,306,147,0,0,0,7,,曹操如今气焰嚣张，我们只有同盟，才有希望对抗他。
2352,1,70,147,147,4,0,306,147,7,148,1,7,,英雄所言极是，我这便去说服主公。
2353,1,405,-1,-1,0,0,0,0,0,0,0,7,,乘这次与孙家联盟的机会，我们可以一举打败曹操。
2354,1,-1,-1,-1,0,0,0,0,0,0,0,7,,不知曹操这次出动多少兵马来江东。
2355,1,405,-1,-1,0,0,0,0,0,0,1,7,,主公，我们去[ff000c]查探[-]一番吧。
2356,1,-1,148,-1,1,0,306,148,0,0,1,7,,先抓几个小兵过来问问情况。
2357,1,72,148,148,4,0,306,148,0,0,0,7,,大英雄饶命！
2358,1,-1,148,148,4,0,306,148,0,0,0,7,,看你们迷迷糊糊的，不会是晕船了吧？
2359,1,72,148,148,4,0,306,148,0,0,0,7,,呕……
2360,1,-1,148,148,4,0,306,148,0,0,0,7,,喂喂喂，我刚洗的衣服！
2361,1,405,148,148,4,0,306,148,7,149,1,7,,主公，他晕过去了……
2362,1,-1,149,-1,1,0,306,149,0,0,1,7,,看江边好多人迷迷瞪瞪的，我们再抓几个来！
2363,1,1,149,149,4,0,306,149,0,0,0,7,,报告主公！抓了一个人，号称是[ffdb00]大都督的故友[-]！
2364,1,73,149,149,4,0,306,149,0,0,0,7,,这位将军，我乃公瑾故友，特来拜访，没有敌意。
2365,1,-1,149,149,4,0,306,149,0,0,1,7,,先带回去！
2366,1,405,-1,-1,0,0,305,0,0,0,0,5,,在这么敏感的时候来拜访，我看这位故友可疑得很。
2367,1,-1,-1,-1,0,0,305,0,0,0,0,5,,不知周瑜会不会上了这家伙的当。
2368,1,70,-1,-1,0,0,305,0,0,0,0,5,,…………英雄未免太小看我了。
2369,1,405,-1,-1,0,0,305,0,0,0,0,5,,（完了，听说大都督气量很小，会不会生气了？）
2370,1,70,-1,-1,0,0,305,0,0,0,0,5,,…………悄悄话说太大声了。
2371,1,405,-1,-1,0,0,305,0,0,0,0,5,,呃，你没听到没听到~
2372,1,70,-1,-1,0,0,305,0,0,0,0,5,,我已经打听出，曹操这次派了雄兵[ffdb00]百万[-]下江东。
2373,1,-1,-1,-1,0,0,305,0,0,0,0,5,,一百万？？！
2374,1,70,-1,-1,0,0,305,0,0,0,0,5,,而我们联军最多不过二十万。
2375,1,-1,-1,-1,0,0,305,0,0,0,0,5,,差距巨大。
2376,1,70,-1,-1,0,0,305,0,0,0,0,5,,不过，倒也并非毫无胜算。
2377,1,405,-1,-1,0,0,305,0,0,0,0,5,,我知道，曹操将士多生长在内陆，[ffdb00]不熟悉水性[-]。
2378,1,405,-1,-1,0,0,305,0,0,0,0,5,,根本不知如何打水战。
2379,1,70,-1,-1,0,0,305,0,0,0,0,5,,正是。
2380,1,70,-1,-1,0,0,305,0,0,0,0,5,,子翼这次来，无非是想劝我投靠曹军。
2381,1,70,-1,-1,0,0,305,0,0,0,0,5,,这倒是一个机会。
2382,1,-1,-1,-1,0,0,305,0,0,0,0,5,,哦？都督有什么妙计？
2383,1,70,-1,-1,0,0,305,0,0,0,0,5,,晚些时候英雄便可知晓。
2384,1,-1,-1,-1,0,0,305,0,7,150,1,5,,竟然还卖关子……
2385,1,-1,-1,-1,0,0,305,0,0,0,1,5,,那我就到处转转，等大都督的好消息了。
2386,1,405,150,-1,1,0,306,150,0,0,0,7,,主公，这些曹军和早些看到的似乎不同。
2387,1,-1,150,-1,1,0,306,150,0,0,0,7,,看上去竟然挺精神，领兵的那位是谁？
2388,1,405,150,-1,1,0,306,150,0,0,0,7,,是[ff000c]蔡瑁[-]，[ff000c]张允[-]二位将军。
2389,1,405,150,-1,1,0,306,150,0,0,0,7,,主公可要小心了，这二位将军曾经在荆州任职。
2390,1,405,150,-1,1,0,306,150,0,0,0,7,,其他不怎么样，但是[ffdb00]特别擅长水战[-]。
2391,1,-1,150,-1,1,0,306,150,0,0,1,7,,涵雨妹妹你先回去吧，我来会会他们。
2392,1,74,150,150,2,0,306,150,0,0,0,7,,竟敢在我练兵的时候捣乱？兄弟们！正好来练练手！
2393,1,-1,150,150,4,0,306,150,0,0,1,7,,看来这蔡瑁还有点本事，难怪曹操能让一个外人担此重任。
2394,1,1,-1,-1,0,0,0,0,0,0,0,7,,主公，刚才大都督到处找你，似乎要邀请你参加什么[ffdb00]群英会[-]。
2395,1,-1,-1,-1,0,0,0,0,0,0,1,7,,哎呦，和曹军玩过头了，都这个点了。
2396,1,405,-1,-1,0,0,305,0,0,0,0,5,,主公，群英会早就结束了。
2397,1,-1,-1,-1,0,0,305,0,0,0,0,5,,有什么好玩的事吗？
2398,1,405,-1,-1,0,0,305,0,0,0,0,5,,周瑜大都督会上[ffdb00]特别豪迈[-]，还[ffdb00]舞剑助兴[-]。
2399,1,405,-1,-1,0,0,305,0,0,0,0,5,,大家都喝得大醉，各自回帐中休息了。
2400,1,-1,-1,-1,0,0,305,0,0,0,0,5,,周瑜也喝醉了？
2401,1,405,-1,-1,0,0,305,0,0,0,0,5,,酩酊大醉，吵着要和蒋干[ffdb00]同塌♂而眠[-]。
2402,1,-1,-1,-1,0,0,305,0,0,0,0,5,,…………………………
2403,1,-1,-1,-1,0,0,305,0,0,0,0,5,,节操啊，周瑜这家伙卖的什么关子。
2404,1,1,-1,-1,0,0,305,0,7,151,1,5,,什么人？
2405,1,-1,-1,-1,0,0,305,0,0,0,1,5,,我去抓回来！
2406,1,-1,151,-1,1,0,306,151,0,0,1,7,,这不是[ffdb00]蒋干[-]嘛。
2407,1,70,151,151,4,0,306,151,0,0,0,7,,英雄莫追！
2408,1,-1,151,151,4,0,306,151,0,0,0,7,,为什么？
2409,1,70,151,151,4,0,306,151,0,0,0,7,,我们现在正需要他代我们向曹操问好呢，哈哈哈哈哈！
2410,1,-1,151,151,4,0,306,151,0,0,1,7,,…………怎么突然觉得这个人好可怕。
2411,1,305,-1,-1,0,0,305,0,0,0,0,5,,主公，我得到消息，曹操把蔡瑁和张允二位将领给[ff000c]斩首[-]了。
2412,1,-1,-1,-1,0,0,305,0,0,0,0,5,,曹操突然脑袋坏了？
2413,1,70,-1,-1,0,0,305,0,0,0,0,5,,果然中计了。
2414,1,-1,-1,-1,0,0,305,0,0,0,0,5,,…………原来这都是你算计好的？
2415,1,70,-1,-1,0,0,305,0,0,0,0,5,,曹军之中，我唯一忌惮的就是这两位。
2416,1,70,-1,-1,0,0,305,0,0,0,0,5,,唯有这两位熟识水性，能对我们构成威胁。
2417,1,-1,-1,-1,0,0,305,0,0,0,0,5,,莫非昨天你放跑蒋干，就是想利用他去[ffdb00]离间[-]！
2418,1,70,-1,-1,0,0,305,0,0,0,0,5,,正是。我让子翼以为蔡张二人与我暗中勾结。
2419,1,70,-1,-1,0,0,305,0,0,0,0,5,,曹操本来就不信任这两个外人。
2420,1,70,-1,-1,0,0,305,0,0,0,0,5,,再加上蒋干的汇报，一定会起疑。依他的脾气，必定立刻处置。
2421,1,70,-1,-1,0,0,305,0,0,0,0,5,,现在唯一能训练水兵的将领没了，那群门外汉只有被我戏耍的份。
2422,1,305,-1,-1,0,0,305,0,0,0,0,5,,…………没想到东吴大都督竟然如此腹黑。
2423,1,70,-1,-1,0,0,305,0,7,152,1,5,,过奖了。
2424,1,305,-1,-1,0,0,305,0,0,0,1,5,,这场[ff000c]赤壁[-]的决战，还真是让人期待。
2425,1,-1,152,-1,1,0,306,152,0,0,1,7,,这里竟然有[ffdb00]曹军[-]，我正愁没人练兵呢。
2426,1,-1,152,152,4,0,306,152,0,0,1,7,,曹军这两天挺精神啊，竟然还能鬼鬼祟祟来查探。
2427,1,305,-1,-1,0,0,305,0,0,0,0,5,,曹军似乎找到了对付晕船的方法。
2428,1,305,-1,-1,0,0,305,0,0,0,0,5,,他们把舰船[ffdb00]全部连在一起[-]，使得船相对稳定一些。
2429,1,305,-1,-1,0,0,305,0,0,0,0,5,,就像站在陆地上一样，这样一来晕船的就少了。
2430,1,-1,-1,-1,0,0,305,0,0,0,0,5,,不愧是狡猾的曹操，大都督，你怎么看？
2431,1,70,-1,-1,0,0,305,0,0,0,0,5,,[ff000c]火计[-]。
2432,1,-1,-1,-1,0,0,305,0,0,0,0,5,,哈哈哈，我们想到一块去了。
2433,1,70,-1,-1,0,0,305,0,0,0,0,5,,他们把船[ffdb00]连在一起[-]，倒方便我们[ffdb00]一把火烧尽[-]。
2434,1,305,-1,-1,0,0,305,0,0,0,0,5,,只是我看这[ffdb00]风向[-]……不太对啊。
2435,1,70,-1,-1,0,0,305,0,0,0,0,5,,……江边多季风，现在是[ffdb00]西风[-]，到傍晚时分，则会吹起[ffdb00]东风[-]来。
2436,1,305,-1,-1,0,0,305,0,0,0,0,5,,曹操的水军已经快到[ff000c]赤壁[-]，我们能等到傍晚吗？
2437,1,70,-1,-1,0,0,305,0,0,0,0,5,,………………
2438,1,-1,-1,-1,0,0,305,0,0,0,0,5,,我有办法了！
2439,1,70,-1,-1,0,0,305,0,0,0,0,5,,嗯？
2440,1,-1,-1,-1,0,0,305,0,0,0,0,5,,我带兵偷袭舰船，先[ffdb00]打乱曹军阵脚[-]。
2441,1,-1,-1,-1,0,0,305,0,7,153,1,5,,能拖一刻是一刻。
2442,1,70,-1,-1,0,0,305,0,0,0,1,5,,好计谋！你我便分头行动！
2443,1,35,153,153,2,0,306,153,0,0,0,7,,有敌军！全军集合！迎战！
2444,1,-1,153,153,4,0,306,153,7,154,1,7,,目的达成！我们先撤，换一处捣乱去~
2445,1,35,154,154,2,0,306,154,0,0,0,7,,有贼军来犯？快集合！
2446,1,-1,154,154,4,0,306,154,7,155,1,7,,咦，[ffdb00]风向变了[-]？
2447,1,305,-1,-1,0,0,0,0,0,0,0,7,,主公，周都督传来信号，[ffdb00]火已经点燃[-]，全军开始进攻了！
2448,1,-1,-1,-1,0,0,0,0,0,0,1,7,,好！那我们就大干一场吧！
2449,1,-1,155,-1,1,0,306,155,0,0,0,7,,好久没有这么激动了！
2450,1,305,155,-1,1,0,306,155,0,0,1,7,,曹军已经阵脚大乱，我们乘机将他们一网打尽！
2451,1,41,155,155,2,0,306,155,0,0,0,7,,……………………
2452,1,84,155,155,2,0,306,155,0,0,0,7,,保护主公！！
2453,1,41,155,155,4,0,306,155,7,156,1,7,,……全军撤退！
2454,1,75,-1,-1,0,0,0,0,0,0,0,7,,曹操不会走大路，一定从[ff000c]华容道[-]走了。
2455,1,-1,-1,-1,0,0,0,0,0,0,0,7,,我带人去追击曹操。
2456,1,70,-1,-1,0,0,0,0,0,0,0,7,,我领军在此收拾残兵。
2457,1,-1,-1,-1,0,0,0,0,0,0,0,7,,此次战役，大都督的计谋让我受益良多。
2458,1,70,-1,-1,0,0,0,0,0,0,0,7,,看来我们的合作就到此为止了。
2459,1,-1,-1,-1,0,0,0,0,0,0,0,7,,……就此告辞！
2460,1,70,-1,-1,0,0,0,0,0,0,0,7,,下次见面，我可不会对你手下留情。
2461,1,-1,-1,-1,0,0,0,0,0,0,0,7,,那你别被我气死了才好。
2462,1,70,-1,-1,0,0,0,0,0,0,0,7,,……八卦野史少看看。
2463,1,305,-1,-1,0,0,0,0,0,0,0,7,,主公，我们快去追[ff000c]曹操[-]吧！
2464,1,-1,-1,-1,0,0,0,0,12,90,1,7,,走！
2465,1,35,156,156,4,0,306,156,0,0,0,7,,保护丞相撤退！尽量拖延住他们！
2466,1,-1,156,156,4,0,306,156,7,157,1,7,,曹军人数太多了……
2467,1,-1,157,157,4,0,306,157,0,0,0,7,,不行，这样下去我们无法追上曹操。
2468,1,1,157,157,4,0,306,157,0,0,0,7,,报告主公！发现一条[ffdb00]小路[-]！
2469,1,-1,157,157,4,0,306,157,7,158,1,7,,我们从小路追赶！
2470,1,46,-1,-1,0,0,0,0,0,0,0,7,,就知道你们会自以为聪明地走小路，哈哈哈哈。
2471,1,305,-1,-1,0,0,0,0,0,0,0,7,,主公，我们中计了！
2472,1,-1,-1,-1,0,0,0,0,0,0,0,7,,是我大意了。
2473,1,305,-1,-1,0,0,0,0,0,0,0,7,,主公别慌，曹军正在逃亡，伏兵不会很多。
2474,1,305,-1,-1,0,0,0,0,0,0,1,7,,迎击便是！
2475,1,76,158,158,2,0,306,158,0,0,0,7,,小白眼狼，看你爷爷来教训你！
2476,1,-1,158,158,4,0,306,158,7,159,1,7,,他们想拖延我们，继续追！
2477,1,77,159,159,2,0,306,159,0,0,0,7,,当初我就该劝说主公不要放过你。
2478,1,78,159,159,2,0,306,159,0,0,0,7,,废话少说！我就先铲除了这个叛徒！
2479,1,-1,159,159,4,0,306,159,0,0,1,7,,……我敬佩曹操，但我只为汉室效命。
2480,1,305,-1,-1,0,0,305,0,0,0,0,5,,主公，我们一路遇到诸多阻拦，恐怕已经追不上曹操了。
2481,1,-1,-1,-1,0,0,305,0,0,0,0,5,,从华容道一路走必定路过[ff000c]荆州[-]。
2482,1,-1,-1,-1,0,0,305,0,0,0,0,5,,曹操这是自寻死路。
2483,1,1,-1,-1,0,0,305,0,0,0,0,5,,报告！
2484,1,1,-1,-1,0,0,305,0,7,160,1,5,,前方发现曹军[ffdb00]运粮队[-]！
2485,1,-1,-1,-1,0,0,305,0,0,0,1,5,,哈哈，来人，跟我去劫个粮。
2486,1,72,160,160,2,0,306,160,0,0,0,7,,不好！敌人来劫粮草车了！
2487,1,79,160,160,4,0,306,160,7,161,1,7,,莫慌！让粮草车先行，本将军来断后！
2488,1,79,161,161,2,0,306,161,0,0,0,7,,来人！给我[ffdb00]烧了[-]这批粮草！所有人撤退！
2489,1,-1,161,161,4,0,306,161,0,0,1,7,,竟然这么干脆就放弃了……莫非有什么阴谋？
2490,1,-1,-1,-1,0,0,305,0,0,0,0,5,,我觉得似乎有些不对劲。
2491,1,-1,-1,-1,0,0,305,0,0,0,0,5,,这一路，虽说时常遇到拖延，但是似乎又只是做做样子。
2492,1,-1,-1,-1,0,0,305,0,0,0,0,5,,难道只是我多想了？
2493,1,305,-1,-1,0,0,305,0,0,0,0,5,,可是从赤壁到这里，道路狭窄，分支又少。
2494,1,305,-1,-1,0,0,305,0,7,162,1,5,,我们布置了兵力在各处侦查，他不可能玩什么花样才对。
2495,1,-1,-1,-1,0,0,305,0,0,0,1,5,,希望只是我[ffdb00]多心[-]了……
2496,1,-1,162,162,4,0,306,162,7,163,1,7,,曹军的数量越来越多，看来曹操应该在不远处了。
2497,1,80,163,163,2,0,306,163,0,0,0,7,,给我在这里阻止他们接近荆州城！
2498,1,-1,163,163,2,0,306,163,0,0,0,7,,？！
2499,1,-1,163,163,4,0,306,163,0,0,1,7,,莫非曹操是想进城[ff000c]劫持皇帝[-]？！
2500,1,305,-1,-1,0,0,305,0,0,0,0,5,,难怪曹操会选择从这条小路撤退，原来是打着皇上的算盘吗？
2501,1,-1,-1,-1,0,0,305,0,0,0,0,5,,曹操虽说在赤壁吃了亏，但是他的大多将领都还在。
2502,1,-1,-1,-1,0,0,305,0,0,0,0,5,,荆州城没有我在简直形同一座空城。
2503,1,-1,-1,-1,0,0,305,0,7,164,1,5,,又有张让这个带路党，恐怕……
2504,1,305,-1,-1,0,0,305,0,0,0,1,5,,主公，我们赶紧赶回去吧！
2505,1,-1,164,164,2,0,306,164,0,0,0,7,,这些士兵的目的果然是[ff000c]荆州[-]！
