序号,说明,品质（1普通2稀有3史诗4传说）,团体技能id,团体技能效果值,品质（1普通2稀有3史诗4传说）,个人技能id
id,strDesc,nQuality,strTeamSkillIds,strTeamSkillValue,nQualitySelf,strSelfSkillids
int,string,int,string,string,int,string
322,[普通]兵种智力+[稀有]破盾,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
323,[普通]兵种智力+[史诗]破盾,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
324,[普通]兵种智力+[传说]破盾,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
325,[普通]兵种智力+[普通]斩杀,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
326,[普通]兵种智力+[稀有]斩杀,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
327,[普通]兵种智力+[史诗]斩杀,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
328,[普通]兵种智力+[传说]斩杀,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
329,[普通]兵种智力+[普通]定身,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
330,[普通]兵种智力+[稀有]定身,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
331,[普通]兵种智力+[史诗]定身,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
332,[普通]兵种智力+[传说]定身,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
333,[普通]兵种智力+[普通]制裁,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
334,[普通]兵种智力+[稀有]制裁,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
335,[普通]兵种智力+[史诗]制裁,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
336,[普通]兵种智力+[传说]制裁,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
337,[普通]兵种智力+[普通]献祭,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
338,[普通]兵种智力+[稀有]献祭,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
339,[普通]兵种智力+[史诗]献祭,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
340,[普通]兵种智力+[传说]献祭,1,96016|96017|96018,40|80|120|160|200|240|280|320|360|400,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
341,[稀有]兵种智力+[普通]破盾,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
342,[稀有]兵种智力+[稀有]破盾,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
343,[稀有]兵种智力+[史诗]破盾,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
344,[稀有]兵种智力+[传说]破盾,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
345,[稀有]兵种智力+[普通]斩杀,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
346,[稀有]兵种智力+[稀有]斩杀,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
347,[稀有]兵种智力+[史诗]斩杀,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
348,[稀有]兵种智力+[传说]斩杀,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
349,[稀有]兵种智力+[普通]定身,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
350,[稀有]兵种智力+[稀有]定身,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
351,[稀有]兵种智力+[史诗]定身,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
352,[稀有]兵种智力+[传说]定身,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
353,[稀有]兵种智力+[普通]制裁,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
354,[稀有]兵种智力+[稀有]制裁,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
355,[稀有]兵种智力+[史诗]制裁,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
356,[稀有]兵种智力+[传说]制裁,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
357,[稀有]兵种智力+[普通]献祭,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
358,[稀有]兵种智力+[稀有]献祭,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
359,[稀有]兵种智力+[史诗]献祭,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
360,[稀有]兵种智力+[传说]献祭,2,96016|96017|96018,60|120|180|240|300|360|420|480|540|600,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
361,[史诗]兵种智力+[普通]破盾,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
362,[史诗]兵种智力+[稀有]破盾,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
363,[史诗]兵种智力+[史诗]破盾,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
364,[史诗]兵种智力+[传说]破盾,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
365,[史诗]兵种智力+[普通]斩杀,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
366,[史诗]兵种智力+[稀有]斩杀,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
367,[史诗]兵种智力+[史诗]斩杀,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
368,[史诗]兵种智力+[传说]斩杀,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
369,[史诗]兵种智力+[普通]定身,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
370,[史诗]兵种智力+[稀有]定身,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
371,[史诗]兵种智力+[史诗]定身,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
372,[史诗]兵种智力+[传说]定身,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
373,[史诗]兵种智力+[普通]制裁,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
374,[史诗]兵种智力+[稀有]制裁,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
375,[史诗]兵种智力+[史诗]制裁,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
376,[史诗]兵种智力+[传说]制裁,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
377,[史诗]兵种智力+[普通]献祭,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
378,[史诗]兵种智力+[稀有]献祭,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
379,[史诗]兵种智力+[史诗]献祭,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
380,[史诗]兵种智力+[传说]献祭,3,96016|96017|96018,80|160|240|320|400|480|560|640|720|800,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
381,[传说]兵种智力+[普通]破盾,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
382,[传说]兵种智力+[稀有]破盾,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
383,[传说]兵种智力+[史诗]破盾,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
384,[传说]兵种智力+[传说]破盾,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
385,[传说]兵种智力+[普通]斩杀,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
386,[传说]兵种智力+[稀有]斩杀,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
387,[传说]兵种智力+[史诗]斩杀,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
388,[传说]兵种智力+[传说]斩杀,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
389,[传说]兵种智力+[普通]定身,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
390,[传说]兵种智力+[稀有]定身,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
391,[传说]兵种智力+[史诗]定身,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
392,[传说]兵种智力+[传说]定身,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
393,[传说]兵种智力+[普通]制裁,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
394,[传说]兵种智力+[稀有]制裁,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
395,[传说]兵种智力+[史诗]制裁,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
396,[传说]兵种智力+[传说]制裁,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
397,[传说]兵种智力+[普通]献祭,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
398,[传说]兵种智力+[稀有]献祭,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
399,[传说]兵种智力+[史诗]献祭,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
400,[传说]兵种智力+[传说]献祭,4,96016|96017|96018,100|200|300|400|500|600|700|800|900|1000,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
401,[普通]兵种兵力+[普通]破盾,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
402,[普通]兵种兵力+[稀有]破盾,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
403,[普通]兵种兵力+[史诗]破盾,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
404,[普通]兵种兵力+[传说]破盾,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
405,[普通]兵种兵力+[普通]斩杀,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
406,[普通]兵种兵力+[稀有]斩杀,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
407,[普通]兵种兵力+[史诗]斩杀,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
408,[普通]兵种兵力+[传说]斩杀,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
409,[普通]兵种兵力+[普通]定身,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
410,[普通]兵种兵力+[稀有]定身,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
411,[普通]兵种兵力+[史诗]定身,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
412,[普通]兵种兵力+[传说]定身,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
413,[普通]兵种兵力+[普通]制裁,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
414,[普通]兵种兵力+[稀有]制裁,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
415,[普通]兵种兵力+[史诗]制裁,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
416,[普通]兵种兵力+[传说]制裁,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
417,[普通]兵种兵力+[普通]献祭,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
418,[普通]兵种兵力+[稀有]献祭,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
419,[普通]兵种兵力+[史诗]献祭,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
420,[普通]兵种兵力+[传说]献祭,1,96019|96020|96021,40|80|120|160|200|240|280|320|360|400,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
421,[稀有]兵种兵力+[普通]破盾,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
422,[稀有]兵种兵力+[稀有]破盾,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
423,[稀有]兵种兵力+[史诗]破盾,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
424,[稀有]兵种兵力+[传说]破盾,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
425,[稀有]兵种兵力+[普通]斩杀,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
426,[稀有]兵种兵力+[稀有]斩杀,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
427,[稀有]兵种兵力+[史诗]斩杀,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
428,[稀有]兵种兵力+[传说]斩杀,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
429,[稀有]兵种兵力+[普通]定身,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
430,[稀有]兵种兵力+[稀有]定身,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
431,[稀有]兵种兵力+[史诗]定身,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
432,[稀有]兵种兵力+[传说]定身,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
433,[稀有]兵种兵力+[普通]制裁,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
434,[稀有]兵种兵力+[稀有]制裁,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
435,[稀有]兵种兵力+[史诗]制裁,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
436,[稀有]兵种兵力+[传说]制裁,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
437,[稀有]兵种兵力+[普通]献祭,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
438,[稀有]兵种兵力+[稀有]献祭,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
439,[稀有]兵种兵力+[史诗]献祭,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
440,[稀有]兵种兵力+[传说]献祭,2,96019|96020|96021,60|120|180|240|300|360|420|480|540|600,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
441,[稀有]兵种武力+[普通]破盾,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
442,[稀有]兵种武力+[稀有]破盾,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
443,[稀有]兵种武力+[史诗]破盾,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
444,[稀有]兵种武力+[传说]破盾,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
445,[稀有]兵种武力+[普通]斩杀,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
446,[稀有]兵种武力+[稀有]斩杀,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
447,[稀有]兵种武力+[史诗]斩杀,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
448,[稀有]兵种武力+[传说]斩杀,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
449,[稀有]兵种武力+[普通]定身,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
450,[稀有]兵种武力+[稀有]定身,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
451,[稀有]兵种武力+[史诗]定身,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
452,[稀有]兵种武力+[传说]定身,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
453,[稀有]兵种武力+[普通]制裁,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
454,[稀有]兵种武力+[稀有]制裁,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
455,[稀有]兵种武力+[史诗]制裁,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
456,[稀有]兵种武力+[传说]制裁,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
457,[稀有]兵种武力+[普通]献祭,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
458,[稀有]兵种武力+[稀有]献祭,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
459,[稀有]兵种武力+[史诗]献祭,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
460,[稀有]兵种武力+[传说]献祭,3,96019|96020|96021,80|160|240|320|400|480|560|640|720|800,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
461,[传说]兵种兵力+[普通]破盾,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
462,[传说]兵种兵力+[稀有]破盾,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
463,[传说]兵种兵力+[史诗]破盾,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
464,[传说]兵种兵力+[传说]破盾,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
465,[传说]兵种兵力+[普通]斩杀,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
466,[传说]兵种兵力+[稀有]斩杀,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
467,[传说]兵种兵力+[史诗]斩杀,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
468,[传说]兵种兵力+[传说]斩杀,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
469,[传说]兵种兵力+[普通]定身,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
470,[传说]兵种兵力+[稀有]定身,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
471,[传说]兵种兵力+[史诗]定身,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
472,[传说]兵种兵力+[传说]定身,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
473,[传说]兵种兵力+[普通]制裁,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
474,[传说]兵种兵力+[稀有]制裁,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
475,[传说]兵种兵力+[史诗]制裁,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
476,[传说]兵种兵力+[传说]制裁,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
477,[传说]兵种兵力+[普通]献祭,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
478,[传说]兵种兵力+[稀有]献祭,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
479,[传说]兵种兵力+[史诗]献祭,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
480,[传说]兵种兵力+[传说]献祭,4,96019|96020|96021,100|200|300|400|500|600|700|800|900|1000,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
