货架ID,游戏货币,额外赠送游戏货币,平台类型,平台币价格,人民币价格,商品名称,运营商ID,中心图标,赠送图标,价格图标,对应的实际货币价格,是否为月卡,礼包对应id
22311,0,0,223,6,6,每日优惠礼包,11,null,null,6,6,0,1
22312,0,0,223,18,18,每日福利礼包,12,null,null,18,18,0,2
22313,0,0,223,30,30,春节礼包,13,null,null,30,30,0,3
22314,0,0,223,30,30,元宵礼包,14,null,null,30,30,0,4
22315,0,0,223,30,30,女将礼包,15,null,null,30,30,0,5
22316,0,0,223,38,38,暖冬礼包,16,null,null,38,38,0,6
22317,0,0,223,30,30,国庆礼包,17,null,null,30,30,0,7
22318,0,0,223,8,8,壮士礼包,18,null,null,8,8,0,8
22319,0,0,223,28,28,豪杰礼包,19,null,null,28,28,0,9
22320,0,0,223,60,60,诸侯礼包,20,null,null,60,60,0,10
22321,0,0,223,128,128,王候礼包,21,null,null,128,128,0,11
22322,0,0,223,198,198,霸主礼包,22,null,null,198,198,0,12
22323,0,0,223,328,328,君王礼包,23,null,null,328,328,0,13
22324,0,0,223,388,388,帝王礼包,24,null,null,388,388,0,14
22325,0,0,223,28,28,觉醒礼包,25,null,null,28,28,0,15
22326,0,0,223,28,28,堕天礼包,26,null,null,28,28,0,16
22327,0,0,223,28,28,诸侯回归礼包,27,null,null,28,28,0,17
22328,0,0,223,28,28,王候回归礼包,28,null,null,28,28,0,18
22329,0,0,223,28,28,霸主回归礼包,29,null,null,28,28,0,19
22330,0,0,223,28,28,君王回归礼包,30,null,null,28,28,0,20
22331,0,0,223,28,28,帝王回归礼包,31,null,null,28,28,0,21
22336,0,0,223,38,38,团购礼包,36,null,null,28,28,0,22
22408,300,0,224,30,30,30元至尊礼包,8,null,null,null,30,1,
22409,500,0,224,50,50,50元至尊礼包,9,null,null,50,50,1,
22410,880,0,224,88,88,88元至尊礼包,10,null,null,88,88,1,
22407,10120,1320,224,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
22406,7590,990,224,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
22401,60,0,224,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
22405,3300,300,224,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
22404,1050,50,224,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
22403,500,0,224,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
22402,300,0,224,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
22411,0,0,224,6,6,每日优惠礼包,11,null,null,6,6,0,1
22412,0,0,224,18,18,每日福利礼包,12,null,null,18,18,0,2
22413,0,0,224,30,30,春节礼包,13,null,null,30,30,0,3
22414,0,0,224,30,30,元宵礼包,14,null,null,30,30,0,4
22415,0,0,224,30,30,女将礼包,15,null,null,30,30,0,5
22416,0,0,224,38,38,暖冬礼包,16,null,null,38,38,0,6
22417,0,0,224,30,30,国庆礼包,17,null,null,30,30,0,7
22418,0,0,224,8,8,壮士礼包,18,null,null,8,8,0,8
22419,0,0,224,28,28,豪杰礼包,19,null,null,28,28,0,9
22420,0,0,224,60,60,诸侯礼包,20,null,null,60,60,0,10
22421,0,0,224,128,128,王候礼包,21,null,null,128,128,0,11
22422,0,0,224,198,198,霸主礼包,22,null,null,198,198,0,12
22423,0,0,224,328,328,君王礼包,23,null,null,328,328,0,13
22424,0,0,224,388,388,帝王礼包,24,null,null,388,388,0,14
22425,0,0,224,28,28,觉醒礼包,25,null,null,28,28,0,15
22426,0,0,224,28,28,堕天礼包,26,null,null,28,28,0,16
22427,0,0,224,28,28,诸侯回归礼包,27,null,null,28,28,0,17
22428,0,0,224,28,28,王候回归礼包,28,null,null,28,28,0,18
22429,0,0,224,28,28,霸主回归礼包,29,null,null,28,28,0,19
22430,0,0,224,28,28,君王回归礼包,30,null,null,28,28,0,20
22431,0,0,224,28,28,帝王回归礼包,31,null,null,28,28,0,21
22436,0,0,224,38,38,团购礼包,36,null,null,28,28,0,22
22608,300,0,226,30,30,30元至尊礼包,8,null,null,null,30,1,
22609,500,0,226,50,50,50元至尊礼包,9,null,null,50,50,1,
22610,880,0,226,88,88,88元至尊礼包,10,null,null,88,88,1,
22607,10120,1320,226,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
22606,7590,990,226,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
22601,60,0,226,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
22605,3300,300,226,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
22604,1050,50,226,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
22603,500,0,226,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
22602,300,0,226,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
22611,0,0,226,6,6,每日优惠礼包,11,null,null,6,6,0,1
22612,0,0,226,18,18,每日福利礼包,12,null,null,18,18,0,2
22613,0,0,226,30,30,春节礼包,13,null,null,30,30,0,3
22614,0,0,226,30,30,元宵礼包,14,null,null,30,30,0,4
22615,0,0,226,30,30,女将礼包,15,null,null,30,30,0,5
22616,0,0,226,38,38,暖冬礼包,16,null,null,38,38,0,6
22617,0,0,226,30,30,国庆礼包,17,null,null,30,30,0,7
22618,0,0,226,8,8,壮士礼包,18,null,null,8,8,0,8
22619,0,0,226,28,28,豪杰礼包,19,null,null,28,28,0,9
22620,0,0,226,60,60,诸侯礼包,20,null,null,60,60,0,10
22621,0,0,226,128,128,王候礼包,21,null,null,128,128,0,11
22622,0,0,226,198,198,霸主礼包,22,null,null,198,198,0,12
22623,0,0,226,328,328,君王礼包,23,null,null,328,328,0,13
22624,0,0,226,388,388,帝王礼包,24,null,null,388,388,0,14
22625,0,0,226,28,28,觉醒礼包,25,null,null,28,28,0,15
22626,0,0,226,28,28,堕天礼包,26,null,null,28,28,0,16
22627,0,0,226,28,28,诸侯回归礼包,27,null,null,28,28,0,17
22628,0,0,226,28,28,王候回归礼包,28,null,null,28,28,0,18
22629,0,0,226,28,28,霸主回归礼包,29,null,null,28,28,0,19
22630,0,0,226,28,28,君王回归礼包,30,null,null,28,28,0,20
22631,0,0,226,28,28,帝王回归礼包,31,null,null,28,28,0,21
22636,0,0,226,38,38,团购礼包,36,null,null,28,28,0,22
22708,300,0,227,30,30,30元至尊礼包,8,null,null,null,30,1,
22709,500,0,227,50,50,50元至尊礼包,9,null,null,50,50,1,
22710,880,0,227,88,88,88元至尊礼包,10,null,null,88,88,1,
22707,10120,1320,227,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
22706,7590,990,227,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
22701,60,0,227,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
22705,3300,300,227,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
22704,1050,50,227,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
22703,500,0,227,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
22702,300,0,227,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
22711,0,0,227,6,6,每日优惠礼包,11,null,null,6,6,0,1
22712,0,0,227,18,18,每日福利礼包,12,null,null,18,18,0,2
22713,0,0,227,30,30,春节礼包,13,null,null,30,30,0,3
22714,0,0,227,30,30,元宵礼包,14,null,null,30,30,0,4
22715,0,0,227,30,30,女将礼包,15,null,null,30,30,0,5
22716,0,0,227,38,38,暖冬礼包,16,null,null,38,38,0,6
22717,0,0,227,30,30,国庆礼包,17,null,null,30,30,0,7
22718,0,0,227,8,8,壮士礼包,18,null,null,8,8,0,8
22719,0,0,227,28,28,豪杰礼包,19,null,null,28,28,0,9
22720,0,0,227,60,60,诸侯礼包,20,null,null,60,60,0,10
22721,0,0,227,128,128,王候礼包,21,null,null,128,128,0,11
22722,0,0,227,198,198,霸主礼包,22,null,null,198,198,0,12
22723,0,0,227,328,328,君王礼包,23,null,null,328,328,0,13
22724,0,0,227,388,388,帝王礼包,24,null,null,388,388,0,14
22725,0,0,227,28,28,觉醒礼包,25,null,null,28,28,0,15
22726,0,0,227,28,28,堕天礼包,26,null,null,28,28,0,16
22727,0,0,227,28,28,诸侯回归礼包,27,null,null,28,28,0,17
22728,0,0,227,28,28,王候回归礼包,28,null,null,28,28,0,18
22729,0,0,227,28,28,霸主回归礼包,29,null,null,28,28,0,19
22730,0,0,227,28,28,君王回归礼包,30,null,null,28,28,0,20
22731,0,0,227,28,28,帝王回归礼包,31,null,null,28,28,0,21
22736,0,0,227,38,38,团购礼包,36,null,null,28,28,0,22
22808,300,0,228,30,30,30元至尊礼包,8,null,null,null,30,1,
22809,500,0,228,50,50,50元至尊礼包,9,null,null,50,50,1,
22810,880,0,228,88,88,88元至尊礼包,10,null,null,88,88,1,
22807,10120,1320,228,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
22806,7590,990,228,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
22801,60,0,228,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
22805,3300,300,228,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
22804,1050,50,228,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
22803,500,0,228,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
22802,300,0,228,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
22811,0,0,228,6,6,每日优惠礼包,11,null,null,6,6,0,1
22812,0,0,228,18,18,每日福利礼包,12,null,null,18,18,0,2
22813,0,0,228,30,30,春节礼包,13,null,null,30,30,0,3
22814,0,0,228,30,30,元宵礼包,14,null,null,30,30,0,4
22815,0,0,228,30,30,女将礼包,15,null,null,30,30,0,5
22816,0,0,228,38,38,暖冬礼包,16,null,null,38,38,0,6
22817,0,0,228,30,30,国庆礼包,17,null,null,30,30,0,7
22818,0,0,228,8,8,壮士礼包,18,null,null,8,8,0,8
22819,0,0,228,28,28,豪杰礼包,19,null,null,28,28,0,9
22820,0,0,228,60,60,诸侯礼包,20,null,null,60,60,0,10
22821,0,0,228,128,128,王候礼包,21,null,null,128,128,0,11
22822,0,0,228,198,198,霸主礼包,22,null,null,198,198,0,12
22823,0,0,228,328,328,君王礼包,23,null,null,328,328,0,13
22824,0,0,228,388,388,帝王礼包,24,null,null,388,388,0,14
22825,0,0,228,28,28,觉醒礼包,25,null,null,28,28,0,15
22826,0,0,228,28,28,堕天礼包,26,null,null,28,28,0,16
22827,0,0,228,28,28,诸侯回归礼包,27,null,null,28,28,0,17
22828,0,0,228,28,28,王候回归礼包,28,null,null,28,28,0,18
22829,0,0,228,28,28,霸主回归礼包,29,null,null,28,28,0,19
22830,0,0,228,28,28,君王回归礼包,30,null,null,28,28,0,20
22831,0,0,228,28,28,帝王回归礼包,31,null,null,28,28,0,21
22836,0,0,228,38,38,团购礼包,36,null,null,28,28,0,22
22908,300,0,229,30,30,30元至尊礼包,8,null,null,null,30,1,
22909,500,0,229,50,50,50元至尊礼包,9,null,null,50,50,1,
22910,880,0,229,88,88,88元至尊礼包,10,null,null,88,88,1,
22907,10120,1320,229,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
22906,7590,990,229,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
22901,60,0,229,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
22905,3300,300,229,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
22904,1050,50,229,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
22903,500,0,229,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
22902,300,0,229,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
22911,0,0,229,6,6,每日优惠礼包,11,null,null,6,6,0,1
22912,0,0,229,18,18,每日福利礼包,12,null,null,18,18,0,2
22913,0,0,229,30,30,春节礼包,13,null,null,30,30,0,3
22914,0,0,229,30,30,元宵礼包,14,null,null,30,30,0,4
22915,0,0,229,30,30,女将礼包,15,null,null,30,30,0,5
22916,0,0,229,38,38,暖冬礼包,16,null,null,38,38,0,6
22917,0,0,229,30,30,国庆礼包,17,null,null,30,30,0,7
22918,0,0,229,8,8,壮士礼包,18,null,null,8,8,0,8
22919,0,0,229,28,28,豪杰礼包,19,null,null,28,28,0,9
22920,0,0,229,60,60,诸侯礼包,20,null,null,60,60,0,10
22921,0,0,229,128,128,王候礼包,21,null,null,128,128,0,11
22922,0,0,229,198,198,霸主礼包,22,null,null,198,198,0,12
22923,0,0,229,328,328,君王礼包,23,null,null,328,328,0,13
22924,0,0,229,388,388,帝王礼包,24,null,null,388,388,0,14
22925,0,0,229,28,28,觉醒礼包,25,null,null,28,28,0,15
22926,0,0,229,28,28,堕天礼包,26,null,null,28,28,0,16
22927,0,0,229,28,28,诸侯回归礼包,27,null,null,28,28,0,17
22928,0,0,229,28,28,王候回归礼包,28,null,null,28,28,0,18
22929,0,0,229,28,28,霸主回归礼包,29,null,null,28,28,0,19
22930,0,0,229,28,28,君王回归礼包,30,null,null,28,28,0,20
22931,0,0,229,28,28,帝王回归礼包,31,null,null,28,28,0,21
22936,0,0,229,38,38,团购礼包,36,null,null,28,28,0,22
23008,300,0,230,30,30,30元至尊礼包,8,null,null,null,30,1,
23009,500,0,230,50,50,50元至尊礼包,9,null,null,50,50,1,
23010,880,0,230,88,88,88元至尊礼包,10,null,null,88,88,1,
23007,10120,1320,230,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
23006,7590,990,230,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
23001,60,0,230,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
23005,3300,300,230,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
23004,1050,50,230,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
23003,500,0,230,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
23002,300,0,230,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
23011,0,0,230,6,6,每日优惠礼包,11,null,null,6,6,0,1
23012,0,0,230,18,18,每日福利礼包,12,null,null,18,18,0,2
23013,0,0,230,30,30,春节礼包,13,null,null,30,30,0,3
23014,0,0,230,30,30,元宵礼包,14,null,null,30,30,0,4
23015,0,0,230,30,30,女将礼包,15,null,null,30,30,0,5
23016,0,0,230,38,38,暖冬礼包,16,null,null,38,38,0,6
23017,0,0,230,30,30,国庆礼包,17,null,null,30,30,0,7
23018,0,0,230,8,8,壮士礼包,18,null,null,8,8,0,8
23019,0,0,230,28,28,豪杰礼包,19,null,null,28,28,0,9
23020,0,0,230,60,60,诸侯礼包,20,null,null,60,60,0,10
23021,0,0,230,128,128,王候礼包,21,null,null,128,128,0,11
23022,0,0,230,198,198,霸主礼包,22,null,null,198,198,0,12
23023,0,0,230,328,328,君王礼包,23,null,null,328,328,0,13
23024,0,0,230,388,388,帝王礼包,24,null,null,388,388,0,14
23025,0,0,230,28,28,觉醒礼包,25,null,null,28,28,0,15
23026,0,0,230,28,28,堕天礼包,26,null,null,28,28,0,16
23027,0,0,230,28,28,诸侯回归礼包,27,null,null,28,28,0,17
23028,0,0,230,28,28,王候回归礼包,28,null,null,28,28,0,18
23029,0,0,230,28,28,霸主回归礼包,29,null,null,28,28,0,19
23030,0,0,230,28,28,君王回归礼包,30,null,null,28,28,0,20
23031,0,0,230,28,28,帝王回归礼包,31,null,null,28,28,0,21
23036,0,0,230,38,38,团购礼包,36,null,null,28,28,0,22
23108,300,0,231,30,30,30元至尊礼包,8,null,null,null,30,1,
23109,500,0,231,50,50,50元至尊礼包,9,null,null,50,50,1,
23110,880,0,231,88,88,88元至尊礼包,10,null,null,88,88,1,
23107,10120,1320,231,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
23106,7590,990,231,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
23101,60,0,231,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
23105,3300,300,231,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
23104,1050,50,231,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
23103,500,0,231,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
23102,300,0,231,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
23111,0,0,231,6,6,每日优惠礼包,11,null,null,6,6,0,1
23112,0,0,231,18,18,每日福利礼包,12,null,null,18,18,0,2
23113,0,0,231,30,30,春节礼包,13,null,null,30,30,0,3
23114,0,0,231,30,30,元宵礼包,14,null,null,30,30,0,4
23115,0,0,231,30,30,女将礼包,15,null,null,30,30,0,5
23116,0,0,231,38,38,暖冬礼包,16,null,null,38,38,0,6
23117,0,0,231,30,30,国庆礼包,17,null,null,30,30,0,7
23118,0,0,231,8,8,壮士礼包,18,null,null,8,8,0,8
23119,0,0,231,28,28,豪杰礼包,19,null,null,28,28,0,9
23120,0,0,231,60,60,诸侯礼包,20,null,null,60,60,0,10
23121,0,0,231,128,128,王候礼包,21,null,null,128,128,0,11
23122,0,0,231,198,198,霸主礼包,22,null,null,198,198,0,12
23123,0,0,231,328,328,君王礼包,23,null,null,328,328,0,13
23124,0,0,231,388,388,帝王礼包,24,null,null,388,388,0,14
23125,0,0,231,28,28,觉醒礼包,25,null,null,28,28,0,15
23126,0,0,231,28,28,堕天礼包,26,null,null,28,28,0,16
23127,0,0,231,28,28,诸侯回归礼包,27,null,null,28,28,0,17
23128,0,0,231,28,28,王候回归礼包,28,null,null,28,28,0,18
23129,0,0,231,28,28,霸主回归礼包,29,null,null,28,28,0,19
23130,0,0,231,28,28,君王回归礼包,30,null,null,28,28,0,20
23131,0,0,231,28,28,帝王回归礼包,31,null,null,28,28,0,21
23136,0,0,231,38,38,团购礼包,36,null,null,28,28,0,22
23308,300,0,233,30,30,30元至尊礼包,8,null,null,null,30,1,
23309,500,0,233,50,50,50元至尊礼包,9,null,null,50,50,1,
23310,880,0,233,88,88,88元至尊礼包,10,null,null,88,88,1,
23307,10120,1320,233,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
23306,7590,990,233,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
23301,60,0,233,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
23305,3300,300,233,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
23304,1050,50,233,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
23303,500,0,233,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
23302,300,0,233,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
23311,0,0,233,6,6,每日优惠礼包,11,null,null,6,6,0,1
23312,0,0,233,18,18,每日福利礼包,12,null,null,18,18,0,2
23313,0,0,233,30,30,春节礼包,13,null,null,30,30,0,3
23314,0,0,233,30,30,元宵礼包,14,null,null,30,30,0,4
23315,0,0,233,30,30,女将礼包,15,null,null,30,30,0,5
23316,0,0,233,38,38,暖冬礼包,16,null,null,38,38,0,6
23317,0,0,233,30,30,国庆礼包,17,null,null,30,30,0,7
23318,0,0,233,8,8,壮士礼包,18,null,null,8,8,0,8
23319,0,0,233,28,28,豪杰礼包,19,null,null,28,28,0,9
23320,0,0,233,60,60,诸侯礼包,20,null,null,60,60,0,10
23321,0,0,233,128,128,王候礼包,21,null,null,128,128,0,11
23322,0,0,233,198,198,霸主礼包,22,null,null,198,198,0,12
23323,0,0,233,328,328,君王礼包,23,null,null,328,328,0,13
23324,0,0,233,388,388,帝王礼包,24,null,null,388,388,0,14
23325,0,0,233,28,28,觉醒礼包,25,null,null,28,28,0,15
23326,0,0,233,28,28,堕天礼包,26,null,null,28,28,0,16
23327,0,0,233,28,28,诸侯回归礼包,27,null,null,28,28,0,17
23328,0,0,233,28,28,王候回归礼包,28,null,null,28,28,0,18
23329,0,0,233,28,28,霸主回归礼包,29,null,null,28,28,0,19
23330,0,0,233,28,28,君王回归礼包,30,null,null,28,28,0,20
23331,0,0,233,28,28,帝王回归礼包,31,null,null,28,28,0,21
23336,0,0,233,38,38,团购礼包,36,null,null,28,28,0,22
23408,300,0,234,30,30,30元至尊礼包,8,null,null,null,30,1,
23409,500,0,234,50,50,50元至尊礼包,9,null,null,50,50,1,
23410,880,0,234,88,88,88元至尊礼包,10,null,null,88,88,1,
23407,10120,1320,234,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
23406,7590,990,234,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
23401,60,0,234,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
23405,3300,300,234,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
23404,1050,50,234,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
23403,500,0,234,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
23402,300,0,234,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
23411,0,0,234,6,6,每日优惠礼包,11,null,null,6,6,0,1
23412,0,0,234,18,18,每日福利礼包,12,null,null,18,18,0,2
23413,0,0,234,30,30,春节礼包,13,null,null,30,30,0,3
23414,0,0,234,30,30,元宵礼包,14,null,null,30,30,0,4
23415,0,0,234,30,30,女将礼包,15,null,null,30,30,0,5
23416,0,0,234,38,38,暖冬礼包,16,null,null,38,38,0,6
23417,0,0,234,30,30,国庆礼包,17,null,null,30,30,0,7
23418,0,0,234,8,8,壮士礼包,18,null,null,8,8,0,8
23419,0,0,234,28,28,豪杰礼包,19,null,null,28,28,0,9
23420,0,0,234,60,60,诸侯礼包,20,null,null,60,60,0,10
23421,0,0,234,128,128,王候礼包,21,null,null,128,128,0,11
23422,0,0,234,198,198,霸主礼包,22,null,null,198,198,0,12
23423,0,0,234,328,328,君王礼包,23,null,null,328,328,0,13
23424,0,0,234,388,388,帝王礼包,24,null,null,388,388,0,14
23425,0,0,234,28,28,觉醒礼包,25,null,null,28,28,0,15
23426,0,0,234,28,28,堕天礼包,26,null,null,28,28,0,16
23427,0,0,234,28,28,诸侯回归礼包,27,null,null,28,28,0,17
23428,0,0,234,28,28,王候回归礼包,28,null,null,28,28,0,18
23429,0,0,234,28,28,霸主回归礼包,29,null,null,28,28,0,19
23430,0,0,234,28,28,君王回归礼包,30,null,null,28,28,0,20
23431,0,0,234,28,28,帝王回归礼包,31,null,null,28,28,0,21
23436,0,0,234,38,38,团购礼包,36,null,null,28,28,0,22
23508,300,0,235,30,30,30元至尊礼包,8,null,null,null,30,1,
23509,500,0,235,50,50,50元至尊礼包,9,null,null,50,50,1,
23510,880,0,235,88,88,88元至尊礼包,10,null,null,88,88,1,
23507,10120,1320,235,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
23506,7590,990,235,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
23501,60,0,235,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
23505,3300,300,235,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
23504,1050,50,235,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
23503,500,0,235,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
23502,300,0,235,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
23511,0,0,235,6,6,每日优惠礼包,11,null,null,6,6,0,1
23512,0,0,235,18,18,每日福利礼包,12,null,null,18,18,0,2
23513,0,0,235,30,30,春节礼包,13,null,null,30,30,0,3
23514,0,0,235,30,30,元宵礼包,14,null,null,30,30,0,4
23515,0,0,235,30,30,女将礼包,15,null,null,30,30,0,5
23516,0,0,235,38,38,暖冬礼包,16,null,null,38,38,0,6
23517,0,0,235,30,30,国庆礼包,17,null,null,30,30,0,7
23518,0,0,235,8,8,壮士礼包,18,null,null,8,8,0,8
23519,0,0,235,28,28,豪杰礼包,19,null,null,28,28,0,9
23520,0,0,235,60,60,诸侯礼包,20,null,null,60,60,0,10
23521,0,0,235,128,128,王候礼包,21,null,null,128,128,0,11
23522,0,0,235,198,198,霸主礼包,22,null,null,198,198,0,12
23523,0,0,235,328,328,君王礼包,23,null,null,328,328,0,13
23524,0,0,235,388,388,帝王礼包,24,null,null,388,388,0,14
23525,0,0,235,28,28,觉醒礼包,25,null,null,28,28,0,15
23526,0,0,235,28,28,堕天礼包,26,null,null,28,28,0,16
23527,0,0,235,28,28,诸侯回归礼包,27,null,null,28,28,0,17
23528,0,0,235,28,28,王候回归礼包,28,null,null,28,28,0,18
23529,0,0,235,28,28,霸主回归礼包,29,null,null,28,28,0,19
23530,0,0,235,28,28,君王回归礼包,30,null,null,28,28,0,20
23531,0,0,235,28,28,帝王回归礼包,31,null,null,28,28,0,21
23536,0,0,235,38,38,团购礼包,36,null,null,28,28,0,22
23708,300,0,237,30,30,30元至尊礼包,8,null,null,null,30,1,
23709,500,0,237,50,50,50元至尊礼包,9,null,null,50,50,1,
23710,880,0,237,88,88,88元至尊礼包,10,null,null,88,88,1,
23707,10120,1320,237,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
