序号|战法,活动类型(),排序索引,开启时间,活动持续时间（单位分钟）,关闭时间,时间参数,默认标题,跳转按钮文字（若为空，不显示跳转按钮）,跳转UI（0，不跳转| 11，充值界面| 1，推图界面| 14，抽卡界面| 24，竞技场| 6，卡册界面| 67，征讨| 9，封地| 17，活动界面|40，排行榜）,是否存储数,进行服务器ID,活动图标,活动背景图片,战力限制,未登陆时长[天],累计充值数额,整形参数1,整形参数2,整形参数3,整形参数4,整形参数5,整形参数6,整形参数7,整形参数8,整形参数9,整形参数10,整形参数11,字符串参数1,字符串参数2,字符串参数3,字符串参数4,字符串参数5,字符串参数6,提示信息,自动补发邮件ID
2857,9,80940,2018|9|24|0|0|0,1439,2018|9|24|0|23|59,,天工开物 一扫天下,立即参加,11,1,0,Banner_Tiangongkaiwu1_Tex,activity_diamond_tex,0,0,0,0,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2858,9,80940,2018|9|25|0|0|0,1439,2018|9|25|0|23|59,,天工开物 一扫天下,立即参加,11,1,0,Banner_Tiangongkaiwu1_Tex,activity_diamond_tex,0,0,0,0,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2859,9,80940,2018|9|26|0|0|0,1439,2018|9|26|0|23|59,,天工开物 一扫天下,立即参加,11,1,0,Banner_Tiangongkaiwu1_Tex,activity_diamond_tex,0,0,0,0,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2860,9,80959,2018|9|29|0|0|0,2879,2018|9|30|0|23|59,,海阔天高 任鸟飞,,0,1,0,Banner_Activity09_Tex,activity_diamond_tex,0,0,0,0,1,1,1888,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1888钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2861,9,80957,2018|9|21|0|16|0,3360,2018|9|24|0|0|0,,战如熊虎 英勇救主,立即参加,11,1,0,Banner_Zhoutai_Tex,activity_diamond_tex,0,0,0,2,0,5,3888,6888,10888,18888,26888,0,0,0,您当前累计充值{0}钻石,下个宝箱：累计充值{0}钻石,青铜礼包|白银礼包|黄金礼包|白金礼包|钻石礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2862,9,80946,2018|10|1|0|0|0,10079,2018|10|7|0|23|59,,招募惊喜 好礼相送,立即参加,14,1,0,Banner_Activity01_Tex,activity_loginreward_tex,0,0,0,2,7,7,1,10,40,80,120,160,200,0,您当前累计精选招募{0}次,下个宝箱：累计精选招募{0}次,礼包|礼包|礼包|礼包|礼包|礼包|礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2863,9,80959,2018|10|1|0|0|0,1439,2018|10|1|0|23|59,,乐消迎喜 循环豪礼,,0,1,0,Banner_Lexiaoyingxi1_Tex,activity_diamond_tex,0,0,0,0,1,1,1000,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2864,9,80959,2018|10|2|0|0|0,1439,2018|10|2|0|23|59,,乐消迎喜 循环豪礼,,0,1,0,Banner_Lexiaoyingxi1_Tex,activity_diamond_tex,0,0,0,0,1,1,1000,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2865,9,80959,2018|10|3|0|0|0,1439,2018|10|3|0|23|59,,乐消迎喜 循环豪礼,,0,1,0,Banner_Lexiaoyingxi1_Tex,activity_silverkey_tex,0,0,0,0,1,1,1000,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2866,9,80958,2018|10|4|0|0|0,5759,2018|10|7|0|23|59,,天降神兵 威风八面,立即参加,71,1,0,Banner_Activity02_Tex,activity_bingshu_tex,0,0,0,2,12,4,10,20,35,50,0,0,0,0,您当前累计购买兵书{0}次,下个宝箱：累计购买兵书{0}次,青铜礼包|白银礼包|黄金礼包|钻石礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2867,9,80940,2018|10|1|0|0|0,1439,2018|10|1|0|23|59,,普天同庆 太平盛世,立即参加,11,1,0,Banner_Tiangongkaiwu1_Tex,activity_diamond_tex,0,0,0,0,0,1,800,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值800钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2868,9,80940,2018|10|2|0|0|0,1439,2018|10|2|0|23|59,,普天同庆 太平盛世,立即参加,11,1,0,Banner_Tiangongkaiwu1_Tex,activity_diamond_tex,0,0,0,0,0,1,800,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值800钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2869,9,80940,2018|10|3|0|0|0,1439,2018|10|3|0|23|59,,普天同庆 太平盛世,立即参加,11,1,0,Banner_Tiangongkaiwu1_Tex,activity_diamond_tex,0,0,0,0,0,1,800,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值800钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2870,9,80940,2018|10|4|0|0|0,1439,2018|10|4|0|23|59,,普天同庆 太平盛世,立即参加,11,1,0,Banner_Tiangongkaiwu1_Tex,activity_diamond_tex,0,0,0,0,0,1,800,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值800钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2871,9,80940,2018|10|5|0|0|0,1439,2018|10|5|0|23|59,,普天同庆 太平盛世,立即参加,11,1,0,Banner_Tiangongkaiwu1_Tex,activity_diamond_tex,0,0,0,0,0,1,800,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值800钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2872,9,80940,2018|10|6|0|0|0,1439,2018|10|6|0|23|59,,普天同庆 太平盛世,立即参加,11,1,0,Banner_Tiangongkaiwu1_Tex,activity_diamond_tex,0,0,0,0,0,1,800,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值800钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2873,9,80940,2018|10|7|0|0|0,1439,2018|10|7|0|23|59,,普天同庆 太平盛世,立即参加,11,1,0,Banner_Tiangongkaiwu1_Tex,activity_diamond_tex,0,0,0,0,0,1,800,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值800钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2874,9,80940,2018|10|1|0|0|0,1439,2018|10|1|0|23|59,,天工开物 一扫天下,立即参加,11,1,0,Banner_Tiangongkaiwu1_Tex,activity_diamond_tex,0,0,0,0,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2875,9,80940,2018|10|2|0|0|0,1439,2018|10|2|0|23|59,,天工开物 一扫天下,立即参加,11,1,0,Banner_Tiangongkaiwu1_Tex,activity_diamond_tex,0,0,0,0,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2876,9,80940,2018|10|3|0|0|0,1439,2018|10|3|0|23|59,,天工开物 一扫天下,立即参加,11,1,0,Banner_Tiangongkaiwu1_Tex,activity_diamond_tex,0,0,0,0,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2877,9,80957,2018|10|1|0|0|0,10079,2018|10|7|0|23|59,,国泰民安 喜气洋洋,立即参加,11,1,0,Banner_Zhoutai_Tex,activity_diamond_tex,0,0,0,2,0,5,888,1888,2888,3888,4888,0,0,0,您当前累计充值{0}钻石,下个宝箱：累计充值{0}钻石,青铜礼包|白银礼包|黄金礼包|白金礼包|钻石礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2878,9,80676,2018|10|1|0|0|0,10079,2018|10|7|0|23|59,,国庆七天乐登录大礼,,0,0,0,Banner_Activity08_Tex,activity_blood_tex,0,0,0,2,2,7,1,2,3,4,5,6,7,0,活动期间，玩家登录游戏，即可获得礼包,NULL,NULL,NULL,NULL,NULL,详情请前往活动界面查看,200000
2879,9,80959,2018|10|6|0|0|0,2879,2018|10|7|0|23|59,,海阔天高 任鸟飞,,0,1,0,Banner_Activity09_Tex,activity_diamond_tex,0,0,0,0,1,1,1888,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1888钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2880,9,100005,2018|10|1|0|0|0,10079,2018|10|7|0|23|59,10月1-10月7日,国庆七天乐商店,立即参加,39|4005|2880,1,0,NULL,NULL,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
2881,9,80946,2018|10|8|0|0|0,10079,2018|10|14|0|23|59,,招募惊喜 好礼相送（银币篇）,立即参加,14,1,0,Banner_Activity01_Tex,activity_loginreward_tex,0,0,0,2,6,6,20,40,80,120,160,200,0,0,您当前累计银币招募{0}次,下个宝箱：累计银币招募{0}次,青铜礼包|白银礼包|黄金礼包|白金礼包|钻石礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2882,9,80959,2018|10|8|0|0|0,1439,2018|10|8|0|23|59,,乐消迎喜 循环豪礼,,0,1,0,Banner_Lexiaoyingxi1_Tex,activity_diamond_tex,0,0,0,0,1,1,1000,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2883,9,80959,2018|10|9|0|0|0,1439,2018|10|9|0|23|59,,乐消迎喜 循环豪礼,,0,1,0,Banner_Lexiaoyingxi1_Tex,activity_diamond_tex,0,0,0,0,1,1,1000,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2884,9,80959,2018|10|10|0|0|0,1439,2018|10|10|0|23|59,,乐消迎喜 循环豪礼,,0,1,0,Banner_Lexiaoyingxi1_Tex,activity_silverkey_tex,0,0,0,0,1,1,1000,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2885,9,80958,2018|10|11|0|0|0,5759,2018|10|14|0|23|59,,天降神兵 威风八面,立即参加,71,1,0,Banner_Activity02_Tex,activity_bingshu_tex,0,0,0,2,12,4,10,20,35,50,0,0,0,0,您当前累计购买兵书{0}次,下个宝箱：累计购买兵书{0}次,青铜礼包|白银礼包|黄金礼包|钻石礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2886,9,80957,2018|10|8|0|0|0,10079,2018|10|14|0|23|59,,周享礼包 好时节到,立即参加,11,1,0,Banner_Zhouxianglibao1_Tex,activity_diamond_tex,0,0,0,1,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2887,9,80952,2018|10|8|0|20|0,120,2018|10|8|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Sanshiyuan1_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2888,9,80952,2018|10|9|0|20|0,120,2018|10|9|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Sanshiyuan1_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2889,9,80952,2018|10|10|0|20|0,120,2018|10|10|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Sanshiyuan1_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2890,9,80952,2018|10|11|0|20|0,120,2018|10|11|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Sanshiyuan1_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2891,9,80952,2018|10|12|0|20|0,120,2018|10|12|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Sanshiyuan1_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2892,9,80952,2018|10|13|0|20|0,120,2018|10|13|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Sanshiyuan1_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2893,9,80952,2018|10|14|0|20|0,120,2018|10|14|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Sanshiyuan1_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2894,9,80940,2018|10|8|0|0|0,1439,2018|10|8|0|23|59,,天工开物 一扫天下,立即参加,11,1,0,Banner_Tiangongkaiwu1_Tex,activity_diamond_tex,0,0,0,0,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2895,9,80940,2018|10|9|0|0|0,1439,2018|10|9|0|23|59,,天工开物 一扫天下,立即参加,11,1,0,Banner_Tiangongkaiwu1_Tex,activity_diamond_tex,0,0,0,0,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2896,9,80940,2018|10|10|0|0|0,1439,2018|10|10|0|23|59,,天工开物 一扫天下,立即参加,11,1,0,Banner_Tiangongkaiwu1_Tex,activity_diamond_tex,0,0,0,0,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2897,9,80959,2018|10|13|0|0|0,2879,2018|10|14|0|23|59,,海阔天高 任鸟飞,,0,1,0,Banner_Activity09_Tex,activity_diamond_tex,0,0,0,0,1,1,888,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗888钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2898,9,80957,2018|10|13|0|0|0,2879,2018|10|14|0|23|59,,充值大放送,立即参加,11,1,0,Banner_Zhoutai_Tex,activity_diamond_tex,0,0,0,2,0,2,2000,5000,0,0,0,0,0,0,您当前累计充值{0}钻石,下个宝箱：累计充值{0}钻石,青铜礼包|白银礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2899,9,80946,2018|10|15|0|0|0,10079,2018|10|21|0|23|59,,招募惊喜 好礼相送,立即参加,14,1,0,Banner_Activity01_Tex,activity_loginreward_tex,0,0,0,2,7,7,1,10,40,80,120,160,200,0,您当前累计精选招募{0}次,下个宝箱：累计精选招募{0}次,礼包|礼包|礼包|礼包|礼包|礼包|礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2900,9,80959,2018|10|15|0|0|0,1439,2018|10|15|0|23|59,,乐消迎喜 循环豪礼,,0,1,0,Banner_Lexiaoyingxi2_Tex,activity_diamond_tex,0,0,0,0,1,1,1000,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2901,9,80959,2018|10|16|0|0|0,1439,2018|10|16|0|23|59,,乐消迎喜 循环豪礼,,0,1,0,Banner_Lexiaoyingxi2_Tex,activity_diamond_tex,0,0,0,0,1,1,1000,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2902,9,80959,2018|10|17|0|0|0,1439,2018|10|17|0|23|59,,乐消迎喜 循环豪礼,,0,1,0,Banner_Lexiaoyingxi2_Tex,activity_diamond_tex,0,0,0,0,1,1,1000,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2903,9,80958,2018|10|18|0|0|0,5759,2018|10|21|0|23|59,,天降神兵 威风八面,立即参加,71,1,0,Banner_Activity02_Tex,activity_bingshu_tex,0,0,0,2,12,4,10,20,35,50,0,0,0,0,您当前累计购买兵书{0}次,下个宝箱：累计购买兵书{0}次,青铜礼包|白银礼包|黄金礼包|钻石礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2904,9,80940,2018|10|15|0|0|0,1439,2018|10|15|0|23|59,,天工开物 一扫天下,立即参加,11,1,0,Banner_Tiangongkaiwu3_Tex,activity_diamond_tex,0,0,0,0,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2905,9,80940,2018|10|16|0|0|0,1439,2018|10|16|0|23|59,,天工开物 一扫天下,立即参加,11,1,0,Banner_Tiangongkaiwu3_Tex,activity_diamond_tex,0,0,0,0,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2906,9,80940,2018|10|17|0|0|0,1439,2018|10|17|0|23|59,,天工开物 一扫天下,立即参加,11,1,0,Banner_Tiangongkaiwu3_Tex,activity_diamond_tex,0,0,0,0,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,每累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2907,9,80957,2018|10|15|0|0|0,10079,2018|10|21|0|23|59,,树树秋声 山山寒色,立即参加,11,1,0,Banner_Zhoutai_Tex,activity_diamond_tex,0,0,0,2,0,5,888,1888,2888,3888,4888,0,0,0,您当前累计充值{0}钻石,下个宝箱：累计充值{0}钻石,青铜礼包|白银礼包|黄金礼包|白金礼包|钻石礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2908,9,80959,2018|10|20|0|0|0,2879,2018|10|21|0|23|59,,海阔天高 任鸟飞,,0,1,0,Banner_Activity09_Tex,activity_diamond_tex,0,0,0,0,1,1,1888,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1888钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2909,9,80958,2018|10|15|0|0|0,10079,2018|10|21|0|23|59,,周享礼包 好时节到,立即参加,11,1,0,Banner_Zhouxianglibao_Tex,activity_diamond_tex,0,0,0,1,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2910,9,80952,2018|10|15|0|20|0,120,2018|10|15|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity48BBGX_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2911,9,80952,2018|10|16|0|20|0,120,2018|10|16|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity48BBGX_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2912,9,80952,2018|10|17|0|20|0,120,2018|10|17|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity48BBGX_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2913,9,80952,2018|10|18|0|20|0,120,2018|10|18|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity48BBGX_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2914,9,80952,2018|10|19|0|20|0,120,2018|10|19|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity48BBGX_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2915,9,80952,2018|10|20|0|20|0,120,2018|10|20|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity48BBGX_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2916,9,80952,2018|10|21|0|20|0,120,2018|10|21|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Activity48BBGX_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2917,9,80946,2018|10|22|0|0|0,10079,2018|10|28|0|23|59,,招募惊喜 好礼相送（银币篇）,立即参加,14,1,0,Banner_Activity01_Tex,activity_loginreward_tex,0,0,0,2,6,6,20,40,80,120,160,200,0,0,您当前累计银币招募{0}次,下个宝箱：累计银币招募{0}次,青铜礼包|白银礼包|黄金礼包|白金礼包|钻石礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2918,9,80959,2018|10|22|0|0|0,1439,2018|10|22|0|23|59,,乐消迎喜 循环豪礼,,0,1,0,Banner_Lexiaoyingxi1_Tex,activity_diamond_tex,0,0,0,0,1,1,1000,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2919,9,80959,2018|10|23|0|0|0,1439,2018|10|23|0|23|59,,乐消迎喜 循环豪礼,,0,1,0,Banner_Lexiaoyingxi1_Tex,activity_diamond_tex,0,0,0,0,1,1,1000,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2920,9,80959,2018|10|24|0|0|0,1439,2018|10|24|0|23|59,,乐消迎喜 循环豪礼,,0,1,0,Banner_Lexiaoyingxi1_Tex,activity_silverkey_tex,0,0,0,0,1,1,1000,0,0,0,0,0,0,0,您当前累计消耗{0}钻石,每累计消耗1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2921,9,80958,2018|10|25|0|0|0,5759,2018|10|28|0|23|59,,天降神兵 威风八面,立即参加,71,1,0,Banner_Activity02_Tex,activity_bingshu_tex,0,0,0,2,12,5,10,20,35,50,65,0,0,0,您当前累计购买兵书{0}次,下个宝箱：累计购买兵书{0}次,青铜礼包|白银礼包|黄金礼包|白金礼包|钻石礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2922,9,80957,2018|10|22|0|0|0,10079,2018|10|28|0|23|59,,周享礼包 好时节到,立即参加,11,1,0,Banner_Zhouxianglibao1_Tex,activity_diamond_tex,0,0,0,1,0,1,1000,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值1000钻石可获得宝箱,豪华礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2923,9,80952,2018|10|22|0|20|0,120,2018|10|22|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Sanshiyuan1_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2924,9,80952,2018|10|23|0|20|0,120,2018|10|23|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Sanshiyuan1_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2925,9,80952,2018|10|24|0|20|0,120,2018|10|24|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Sanshiyuan1_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2926,9,80952,2018|10|25|0|20|0,120,2018|10|25|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Sanshiyuan1_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2927,9,80952,2018|10|26|0|20|0,120,2018|10|26|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Sanshiyuan1_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2928,9,80952,2018|10|27|0|20|0,120,2018|10|27|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Sanshiyuan1_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
2929,9,80952,2018|10|28|0|20|0,120,2018|10|28|0|22|0,,30元惊喜 限时大礼,立即参加,11,1,0,Banner_Sanshiyuan1_Tex,activity_diamond_tex,0,0,0,1,0,1,300,0,0,0,0,0,0,0,您当前累计充值{0}钻石,累计充值300钻石可获得宝箱,限时惊喜大礼包,NULL,NULL,NULL,详情请前往活动界面查看,200000
