道具ID,商品类型,商品子类型,商品数量,需要战力,货币类型,货币子类型,价格,自定义参数,自定义参数,商品描述
60002,17,1,8,0,28,1,24,0,0,白虎石，“四圣兽●白虎”精魂化为的玉石，可以增加武力、兵力。
60003,17,1,5,0,28,1,15,0,0,白虎石，“四圣兽●白虎”精魂化为的玉石，可以增加武力、兵力。
60004,17,1,3,0,28,1,9,0,0,白虎石，“四圣兽●白虎”精魂化为的玉石，可以增加武力、兵力。
60005,18,1,8,0,28,1,24,0,0,朱雀石，“四圣兽●朱雀”精魂化为的玉石，可以增加智力、兵力。
60006,18,1,5,0,28,1,15,0,0,朱雀石，“四圣兽●朱雀”精魂化为的玉石，可以增加智力、兵力。
60007,18,1,3,0,28,1,9,0,0,朱雀石，“四圣兽●朱雀”精魂化为的玉石，可以增加智力、兵力。
60008,19,1,10,0,47,1,3,0,0,玄武石，“四圣兽●玄武”精魂化为的玉石，可以增加兵力。
60009,19,1,5,0,2,1,550000,0,0,玄武石，“四圣兽●玄武”精魂化为的玉石，可以增加兵力。
60010,23,1,5,0,19,1,10,0,0,传承卷，一张刻有古老文字的羊皮纸，可用于“武将传承”。
60011,33,1,2,0,28,1,6,0,0,银钥匙，纯银打造的钥匙，可用开启“战器寻宝”中的普通宝箱。
60012,33,1,1,0,28,1,3,0,0,银钥匙，纯银打造的钥匙，可用开启“战器寻宝”中的普通宝箱。
60013,27,1,5,0,2,1,3300000,0,0,银币，刻有奇怪符号的银币，可以用于“钻石招募”。
60014,28,1,20,0,2,1,4400000,0,0,印玉，刻有天命之印的玉石，可以用于武将的“升星”。
60015,28,1,15,0,47,1,10,0,0,印玉，刻有天命之印的玉石，可以用于武将的“升星”。
60016,28,1,10,0,2,1,2200000,0,0,印玉，刻有天命之印的玉石，可以用于武将的“升星”。
60017,29,1,3,0,28,1,23,0,0,血玉，含有绝世武将精血的玉石，可用来提升钻石武将，战器的等级。
60018,26,1,2,0,27,1,6,0,0,金币，刻有奇怪符号的金币，可以用于“精选招募”。
60019,34,1,1,0,33,1,9,0,0,金钥匙，珍贵的黄金钥匙，可用开启“战器寻宝”中的至尊宝箱。
60020,200,59,1,0,2,1,1600000,0,0,重置券，可以改变战器的词条数量。
60021,200,59,2,0,33,1,5,0,0,重置券，可以改变战器的词条数量。
60022,200,59,3,0,33,1,8,0,0,重置券，可以改变战器的词条数量。
60023,200,58,1000,0,2,1,11100000,0,0,淬炼石，可以改变某个单独词条。
60024,200,58,100,0,2,1,1100000,0,0,淬炼石，可以改变某个单独词条。
60025,200,58,200,0,2,1,2200000,0,0,淬炼石，可以改变某个单独词条。
60026,200,58,300,0,2,1,3300000,0,0,淬炼石，可以改变某个单独词条。
62001,104,4011,1,0,2,1,5000000,0,0,一号位【苍龙】，可提高主属性
62002,104,4012,1,0,2,1,5000000,0,0,二号位【苍龙】，可提高主属性
62003,104,4013,1,0,2,1,5000000,0,0,三号位【苍龙】，可提高主属性
62004,104,4014,1,0,2,1,5000000,0,0,四号位【苍龙】，可提高主属性
62005,104,4015,1,0,2,1,5000000,0,0,五号位【苍龙】，可提高主属性
62006,104,4016,1,0,2,1,5000000,0,0,六号位【苍龙】，可提高主属性
62007,104,4021,1,0,2,1,5000000,0,0,一号位【猛虎】，可提高主属性
62008,104,4022,1,0,2,1,5000000,0,0,二号位【猛虎】，可提高主属性
62009,104,4023,1,0,2,1,5000000,0,0,三号位【猛虎】，可提高主属性
62010,104,4024,1,0,2,1,5000000,0,0,四号位【猛虎】，可提高主属性
62011,104,4025,1,0,2,1,5000000,0,0,五号位【猛虎】，可提高主属性
62012,104,4026,1,0,2,1,5000000,0,0,六号位【猛虎】，可提高主属性
62013,104,4031,1,0,2,1,5000000,0,0,一号位【火凤】，可提高主属性
62014,104,4032,1,0,2,1,5000000,0,0,二号位【火凤】，可提高主属性
62015,104,4033,1,0,2,1,5000000,0,0,三号位【火凤】，可提高主属性
62016,104,4034,1,0,2,1,5000000,0,0,四号位【火凤】，可提高主属性
62017,104,4035,1,0,2,1,5000000,0,0,五号位【火凤】，可提高主属性
62018,104,4036,1,0,2,1,5000000,0,0,六号位【火凤】，可提高主属性
62019,104,4041,1,0,2,1,5000000,0,0,一号位【天狼】，可提高主属性
62020,104,4042,1,0,2,1,5000000,0,0,二号位【天狼】，可提高主属性
62021,104,4043,1,0,2,1,5000000,0,0,三号位【天狼】，可提高主属性
62022,104,4044,1,0,2,1,5000000,0,0,四号位【天狼】，可提高主属性
62023,104,4045,1,0,2,1,5000000,0,0,五号位【天狼】，可提高主属性
62024,104,4046,1,0,2,1,5000000,0,0,六号位【天狼】，可提高主属性
62025,104,4051,1,0,2,1,5000000,0,0,一号位【玄龟】，可提高主属性
62026,104,4052,1,0,2,1,5000000,0,0,二号位【玄龟】，可提高主属性
62027,104,4053,1,0,2,1,5000000,0,0,三号位【玄龟】，可提高主属性
62028,104,4054,1,0,2,1,5000000,0,0,四号位【玄龟】，可提高主属性
62029,104,4055,1,0,2,1,5000000,0,0,五号位【玄龟】，可提高主属性
62030,104,4056,1,0,2,1,5000000,0,0,六号位【玄龟】，可提高主属性
62031,104,4061,1,0,2,1,5000000,0,0,一号位【翔鹰】，可提高主属性
62032,104,4062,1,0,2,1,5000000,0,0,二号位【翔鹰】，可提高主属性
62033,104,4063,1,0,2,1,5000000,0,0,三号位【翔鹰】，可提高主属性
62034,104,4064,1,0,2,1,5000000,0,0,四号位【翔鹰】，可提高主属性
62035,104,4065,1,0,2,1,5000000,0,0,五号位【翔鹰】，可提高主属性
62036,104,4066,1,0,2,1,5000000,0,0,六号位【翔鹰】，可提高主属性
62037,104,4071,1,0,2,1,5000000,0,0,一号位【麒麟】，可提高主属性
62038,104,4072,1,0,2,1,5000000,0,0,二号位【麒麟】，可提高主属性
62039,104,4073,1,0,2,1,5000000,0,0,三号位【麒麟】，可提高主属性
62040,104,4074,1,0,2,1,5000000,0,0,四号位【麒麟】，可提高主属性
62041,104,4075,1,0,2,1,5000000,0,0,五号位【麒麟】，可提高主属性
62042,104,4076,1,0,2,1,5000000,0,0,六号位【麒麟】，可提高主属性
62043,104,4081,1,0,2,1,5000000,0,0,一号位【青鸾】，可提高主属性
62044,104,4082,1,0,2,1,5000000,0,0,二号位【青鸾】，可提高主属性
62045,104,4083,1,0,2,1,5000000,0,0,三号位【青鸾】，可提高主属性
62046,104,4084,1,0,2,1,5000000,0,0,四号位【青鸾】，可提高主属性
62047,104,4085,1,0,2,1,5000000,0,0,五号位【青鸾】，可提高主属性
62048,104,4086,1,0,2,1,5000000,0,0,六号位【青鸾】，可提高主属性
62049,104,5011,1,0,2,1,10000000,0,0,一号位【苍龙】，可提高主属性
62050,104,5012,1,0,2,1,10000000,0,0,二号位【苍龙】，可提高主属性
62051,104,5013,1,0,2,1,10000000,0,0,三号位【苍龙】，可提高主属性
62052,104,5014,1,0,2,1,10000000,0,0,四号位【苍龙】，可提高主属性
62053,104,5015,1,0,2,1,10000000,0,0,五号位【苍龙】，可提高主属性
62054,104,5016,1,0,2,1,10000000,0,0,六号位【苍龙】，可提高主属性
62055,104,5021,1,0,2,1,10000000,0,0,一号位【猛虎】，可提高主属性
62056,104,5022,1,0,2,1,10000000,0,0,二号位【猛虎】，可提高主属性
62057,104,5023,1,0,2,1,10000000,0,0,三号位【猛虎】，可提高主属性
62058,104,5024,1,0,2,1,10000000,0,0,四号位【猛虎】，可提高主属性
62059,104,5025,1,0,2,1,10000000,0,0,五号位【猛虎】，可提高主属性
62060,104,5026,1,0,2,1,10000000,0,0,六号位【猛虎】，可提高主属性
62061,104,5031,1,0,2,1,10000000,0,0,一号位【火凤】，可提高主属性
62062,104,5032,1,0,2,1,10000000,0,0,二号位【火凤】，可提高主属性
62063,104,5033,1,0,2,1,10000000,0,0,三号位【火凤】，可提高主属性
62064,104,5034,1,0,2,1,10000000,0,0,四号位【火凤】，可提高主属性
62065,104,5035,1,0,2,1,10000000,0,0,五号位【火凤】，可提高主属性
62066,104,5036,1,0,2,1,10000000,0,0,六号位【火凤】，可提高主属性
62067,104,5041,1,0,2,1,10000000,0,0,一号位【天狼】，可提高主属性
62068,104,5042,1,0,2,1,10000000,0,0,二号位【天狼】，可提高主属性
62069,104,5043,1,0,2,1,10000000,0,0,三号位【天狼】，可提高主属性
62070,104,5044,1,0,2,1,10000000,0,0,四号位【天狼】，可提高主属性
62071,104,5045,1,0,2,1,10000000,0,0,五号位【天狼】，可提高主属性
62072,104,5046,1,0,2,1,10000000,0,0,六号位【天狼】，可提高主属性
62073,104,5051,1,0,2,1,10000000,0,0,一号位【玄龟】，可提高主属性
62074,104,5052,1,0,2,1,10000000,0,0,二号位【玄龟】，可提高主属性
62075,104,5053,1,0,2,1,10000000,0,0,三号位【玄龟】，可提高主属性
62076,104,5054,1,0,2,1,10000000,0,0,四号位【玄龟】，可提高主属性
62077,104,5055,1,0,2,1,10000000,0,0,五号位【玄龟】，可提高主属性
62078,104,5056,1,0,2,1,10000000,0,0,六号位【玄龟】，可提高主属性
62079,104,5061,1,0,2,1,10000000,0,0,一号位【翔鹰】，可提高主属性
62080,104,5062,1,0,2,1,10000000,0,0,二号位【翔鹰】，可提高主属性
62081,104,5063,1,0,2,1,10000000,0,0,三号位【翔鹰】，可提高主属性
62082,104,5064,1,0,2,1,10000000,0,0,四号位【翔鹰】，可提高主属性
62083,104,5065,1,0,2,1,10000000,0,0,五号位【翔鹰】，可提高主属性
62084,104,5066,1,0,2,1,10000000,0,0,六号位【翔鹰】，可提高主属性
62085,104,5071,1,0,2,1,10000000,0,0,一号位【麒麟】，可提高主属性
62086,104,5072,1,0,2,1,10000000,0,0,二号位【麒麟】，可提高主属性
62087,104,5073,1,0,2,1,10000000,0,0,三号位【麒麟】，可提高主属性
62088,104,5074,1,0,2,1,10000000,0,0,四号位【麒麟】，可提高主属性
62089,104,5075,1,0,2,1,10000000,0,0,五号位【麒麟】，可提高主属性
62090,104,5076,1,0,2,1,10000000,0,0,六号位【麒麟】，可提高主属性
62091,104,5081,1,0,2,1,10000000,0,0,一号位【青鸾】，可提高主属性
62092,104,5082,1,0,2,1,10000000,0,0,二号位【青鸾】，可提高主属性
62093,104,5083,1,0,2,1,10000000,0,0,三号位【青鸾】，可提高主属性
62094,104,5084,1,0,2,1,10000000,0,0,四号位【青鸾】，可提高主属性
62095,104,5085,1,0,2,1,10000000,0,0,五号位【青鸾】，可提高主属性
62096,104,5086,1,0,2,1,10000000,0,0,六号位【青鸾】，可提高主属性
70001,1,376,1,0,55,0,2800,0,0,用于【吕姬】升星的武将印
70002,1,377,1,0,55,0,2800,0,0,用于【吕姬】升星的武将印
70003,1,380,1,0,55,0,2800,0,0,用于【吕玲绮】升星的武将印
70004,1,381,1,0,55,0,2800,0,0,用于【吕玲绮】升星的武将印
70005,1,384,1,0,55,0,2800,0,0,用于【姜维】升星的武将印
70006,1,385,1,0,55,0,2800,0,0,用于【姜维】升星的武将印
70007,1,388,1,0,55,0,2800,0,0,用于【曹仁】升星的武将印
70008,1,389,1,0,55,0,2800,0,0,用于【曹仁】升星的武将印
70009,1,392,1,0,55,0,2800,0,0,用于【孙尚香】升星的武将印
70010,1,393,1,0,55,0,2800,0,0,用于【孙尚香】升星的武将印
70011,1,396,1,0,55,0,2800,0,0,用于【黄月英】升星的武将印
70012,1,397,1,0,55,0,2800,0,0,用于【黄月英】升星的武将印
70013,1,401,1,0,55,0,2800,0,0,用于【吕蒙】升星的武将印
70014,1,402,1,0,55,0,2800,0,0,用于【吕蒙】升星的武将印
70015,1,405,1,0,55,0,2800,0,0,用于【荀彧】升星的武将印
70016,1,406,1,0,55,0,2800,0,0,用于【荀彧】升星的武将印
70017,1,409,1,0,55,0,2800,0,0,用于【曹丕】升星的武将印
70018,1,410,1,0,55,0,2800,0,0,用于【曹丕】升星的武将印
70019,1,413,1,0,55,0,2800,0,0,用于【颜良】升星的武将印
70020,1,417,1,0,55,0,2800,0,0,用于【文丑】升星的武将印
70021,1,421,1,0,55,0,2800,0,0,用于【凌统】升星的武将印
70022,1,422,1,0,55,0,2800,0,0,用于【凌统】升星的武将印
70023,1,425,1,0,55,0,2800,0,0,用于【庞统】升星的武将印
70024,1,426,1,0,55,0,2800,0,0,用于【庞统】升星的武将印
70025,1,429,1,0,55,0,2800,0,0,用于【典韦】升星的武将印
70026,1,430,1,0,55,0,2800,0,0,用于【典韦】升星的武将印
70027,1,435,1,0,55,0,3400,0,0,用于【甘宁】升星的武将印
70028,1,436,1,0,55,0,3400,0,0,用于【甘宁】升星的武将印
70029,1,439,1,0,55,0,3600,0,0,用于【袁绍】升星的武将印
70030,1,440,1,0,55,0,3600,0,0,用于【袁绍】升星的武将印
70031,1,1,1,0,55,0,2100,0,0,稀有金卡
70032,1,2,1,0,55,0,2100,0,0,稀有金卡
70033,1,3,1,0,55,0,2100,0,0,稀有金卡
70034,1,4,1,0,55,0,2100,0,0,稀有金卡
70035,1,5,1,0,55,0,2100,0,0,稀有金卡
70036,1,6,1,0,55,0,2100,0,0,稀有金卡
70037,1,7,1,0,55,0,2100,0,0,稀有金卡
70038,1,8,1,0,55,0,2100,0,0,稀有金卡
70039,1,9,1,0,55,0,2100,0,0,稀有金卡
70040,1,10,1,0,55,0,2100,0,0,稀有金卡
70041,1,11,1,0,55,0,2100,0,0,稀有金卡
70042,1,14,1,0,55,0,2100,0,0,稀有金卡
70043,1,18,1,0,55,0,2100,0,0,稀有金卡
70044,1,19,1,0,55,0,2100,0,0,稀有金卡
70045,1,21,1,0,55,0,2100,0,0,稀有金卡
70046,1,28,1,0,55,0,2100,0,0,稀有金卡
70047,1,34,1,0,55,0,2100,0,0,稀有金卡
70048,1,443,1,0,55,0,3400,0,0,用于【鲁肃】升星的武将印
70049,1,444,1,0,55,0,3400,0,0,用于【鲁肃】升星的武将印
70050,1,447,1,0,55,0,3400,0,0,用于【魏延】升星的武将印
70051,1,448,1,0,55,0,3400,0,0,用于【魏延】升星的武将印
70052,1,451,1,0,55,0,3750,0,0,用于【天子汉献帝】解锁将魂的武将印
70053,1,455,1,0,55,0,3750,0,0,用于【郭嘉】升星的武将印
70054,1,456,1,0,55,0,3750,0,0,用于【郭嘉】升星的武将印
70055,1,464,1,0,55,0,3750,0,0,用于【大乔】升星的武将印
70056,1,453,1,0,55,0,4500,0,0,天子汉献帝
70057,1,468,1,0,55,0,3750,0,0,用于【黄舞蝶】升星的武将印
70058,1,473,1,0,55,0,3750,0,0,用于【夏侯渊】升星的武将印
70059,1,476,1,0,55,0,3750,0,0,用于【小乔】升星的武将印
70060,1,481,1,0,55,0,3750,0,0,用于【于吉】升星的武将印
70061,1,414,1,0,55,0,3750,0,0,用于【颜良】升星的武将印
70062,1,418,1,0,55,0,3750,0,0,用于【文丑】升星的武将印
90,36,1,500,0,19,0,60,0,0,可以在派遣商店兑换专属战器碎片。
91,200,58,500,0,19,0,60,0,0,用于洗练战器的某条属性
92,27,1,10,0,19,0,60,0,0,刻有奇怪符号的银币，可以用于“钻石招募”。
93,29,1,5,0,19,0,75,0,0,含有绝世武将精血的玉石，可用来提升钻石武将的等级。
94,200,59,5,0,19,0,75,0,0,可以改变战器的词条数量。
95,53,1,3,0,19,0,110,0,0,可以在购买兵书时代替钻石花费。
100,36,1,1500,0,17,0,10,0,0,可以在派遣商店兑换专属战器碎片。
101,23,1,30,0,17,0,10,0,0,一张刻有古老文字的羊皮纸，可用于“武将传承”。
102,29,1,5,0,17,0,12,0,0,含有绝世武将精血的玉石，可用来提升钻石武将的等级。
103,200,58,1000,0,17,0,20,0,0,用于洗练战器的某条属性
104,200,59,10,0,17,0,30,0,0,可以改变战器的词条数量。
105,29,1,20,0,17,0,50,0,0,含有绝世武将精血的玉石，可用来提升钻石武将的等级。
106,23,1,15,0,1,5014,1,0,0,一张刻有古老文字的羊皮纸，可用于“武将传承”。
107,16,1,3,0,1,5014,1,0,0,“四圣兽●青龙”精魂化为的玉石，可以增加武力、智力、兵力。
108,200,59,4,0,1,5014,2,0,0,可以改变战器的词条数量。
109,34,1,1,0,1,5014,2,0,0,珍贵的黄金钥匙，可用开启“战器寻宝”中的至尊宝箱。
110,53,1,3,0,1,5014,3,0,0,可以在购买兵书时代替钻石花费。
111,1,7006,1,0,1,5014,4,0,0,可以用于兑换限定卡
112,24,1,10,0,18,0,5,0,0,一张刻有古老文字的羊皮纸，可用于“圣石漆盘”。
113,200,58,500,0,18,0,10,0,0,用于洗练战器的某条属性
114,27,1,10,0,18,0,10,0,0,刻有奇怪符号的银币，可以用于“钻石招募”。
115,28,0,50,0,18,0,20,0,0,刻有天命之印的玉石，可以用于武将的“升星”。
116,200,59,10,0,18,0,30,0,0,可以改变战器的词条数量。
117,1,7006,2,0,18,0,50,0,0,可以用于兑换限定卡
118,43,0,1,0,17,0,5,0,0,画有复杂机关结构的图纸，可用于“战争工坊”的研发和升星。
119,23,0,30,0,17,0,10,0,0,一张刻有古老文字的羊皮纸，可用于“武将传承”。
120,29,0,5,0,17,0,15,0,0,含有绝世武将精血的玉石，可用来提升钻石武将的等级。
121,28,0,50,0,17,0,20,0,0,刻有天命之印的玉石，可以用于武将的“升星”。
122,53,0,3,0,17,0,25,0,0,可以在购买兵书时代替钻石花费。
123,54,0,4,0,17,0,50,0,0,使用此券进行战器强化失败后不会降低战器强化等级
124,5,0,100,0,5,0,20,0,0,钻石
125,38,0,10,0,5,0,500,0,0,可以在机关人处使用，有机会砸出大量卡魂或血玉。
126,27,0,30,0,5,0,900,0,0,刻有奇怪符号的银币，可以用于“钻石招募”。
127,23,0,100,0,5,0,1000,0,0,一张刻有古老文字的羊皮纸，可用于“武将传承”。
128,53,0,10,0,5,0,1800,0,0,可以在购买兵书时代替钻石花费。
129,29,0,50,0,5,0,3500,0,0,含有绝世武将精血的玉石，可用来提升钻石武将的等级。
130,200,59,20,0,5,0,1500,0,0,可以改变战器的词条数量。
131,26,0,20,0,5,0,1600,0,0,刻有奇怪符号的金币，可以用于“精选招募”。
132,34,0,10,0,5,0,2500,0,0,珍贵的黄金钥匙，可用开启“战器寻宝”中的至尊宝箱。
133,13,0,2000,0,5,0,3000,0,0,用于天运招募，必定产出金卡武将或武将印。
134,200,58,5000,0,5,0,3000,0,0,用于洗练战器的某条属性
135,16,0,80,0,5,0,4000,0,0,“四圣兽●青龙”精魂化为的玉石，可以增加武力、智力、兵力。
136,28,0,100,0,5,0,1000,0,0,刻有天命之印的玉石，可以用于武将的“升星”。
137,36,0,5000,0,5,0,1500,0,0,可以在派遣商店兑换专属战器碎片。
138,54,0,5,0,5,0,3000,0,0,使用此券进行战器强化失败后不会降低战器强化等级
139,1,7010,1,0,5,0,7000,0,0,可以在主城的神将商店中兑换稀有升星印
140,36,0,1500,0,16,0,6,0,0,可以在派遣商店兑换专属战器碎片。
141,54,0,2,0,16,0,6,0,0,使用此券进行战器强化失败后不会降低战器强化等级
142,1,7006,1,0,16,0,10,0,0,天命卡，可以用于兑换限定卡
143,200,59,10,0,16,0,20,0,0,重置券，可以改变战器的词条数量。
144,53,0,5,0,16,0,25,0,0,玉牌，可以在购买兵书时代替钻石花费。
145,29,0,25,0,16,0,50,0,0,含有绝世武将精血的玉石，可用来提升钻石武将的等级。
150,2,0,1000000,0,1,7017,1,0,0,卡魂可用于加强武将能力、升级封地等级等
151,29,0,2,0,1,7017,3,0,0,含有绝世武将精血的玉石，可用来提升钻石武将的等级。
152,53,0,1,0,1,7017,4,0,0,可以在购买兵书时代替钻石花费。
153,34,0,1,0,1,7017,5,0,0,珍贵的黄金钥匙，可用开启“战器寻宝”中的至尊宝箱。
154,33,0,2,0,1,7017,1,0,0,银钥匙，纯银打造的钥匙，可用开启“战器寻宝”中的普通宝箱。
155,26,0,1,0,1,7017,2,0,0,刻有奇怪符号的金币，可以用于“精选招募”。
156,27,0,2,0,1,7017,1,0,0,刻有奇怪符号的银币，可以用于“钻石招募”。
157,200,67,1,0,1,7017,2,0,0,刻着象征幸运的四叶草，用于幸运抽卡
158,39,0,3,0,1,7017,1,0,0,齿轮，可以用于机关人转化产出血玉及卡魂。
159,28,0,5,0,1,7017,1,0,0,刻有天命之印的玉石，可以用于武将的“升星”。
160,200,67,5,0,19,0,100,0,0,刻着象征幸运的四叶草，用于幸运抽卡
161,54,0,2,0,19,0,80,0,0,使用此券进行战器强化失败后不会降低战器强化等级
162,2,0,5000000,0,19,0,60,0,0,卡魂可用于加强武将能力、升级封地等级等
163,200,59,2,0,19,0,40,0,0,可以改变战器的词条数量。
164,53,0,1,0,19,0,30,0,0,可以在购买兵书时代替钻石花费。
165,17,0,4,0,19,0,30,0,0,白虎石，“四圣兽●白虎”精魂化为的玉石，可以增加武力、兵力。
166,200,67,5,0,2,1,10000000,0,0,幸运币，刻着象征幸运的四叶草，用于幸运夺宝
167,54,0,2,0,16,1,8,0,0,保底券，使用此券进行战器强化失败后不会降低战器强化等级
168,200,62,100,0,19,1,60,0,0,陨铁，用于修复兵符
169,1,7006,1,0,53,1,3,0,0,天命卡，可以用于兑换限定卡
170,53,0,1,0,19,1,30,0,0,玉牌，可以在购买兵书时代替钻石花费。
171,200,60,10,0,29,1,2,0,0,石精，用于强化兵符
60201,54,0,5,0,103,18,750,0,0,保底券，使用此券进行战器强化失败后不会降低战器强化等级
60202,23,0,50,0,103,18,1000,0,0,传承卷，一张刻有古老文字的羊皮纸，可用于“武将传承”。
60203,39,0,5,0,103,18,150,0,0,齿轮，可以用于机关人转化产出血玉及卡魂。
60204,27,0,5,0,103,18,300,0,0,银币，刻有奇怪符号的银币，可以用于“钻石招募”。
60205,26,0,5,0,103,18,950,0,0,金币，刻有奇怪符号的金币，可以用于“精选招募”。
60206,53,0,1,0,103,18,360,0,0,玉牌，可以在购买兵书时代替钻石花费。
60207,2,0,200000,0,103,18,20,0,0,卡魂，卡魂可用于加强武将能力、升级封地等级等
60208,28,0,30,0,103,18,600,0,0,印玉，刻有天命之印的玉石，可以用于武将的“升星”。
60209,200,59,1,0,103,18,150,0,0,重置券，可以改变战器的词条数量。
60210,24,0,5,0,103,18,225,0,0,漆盘卷，一张刻有古老文字的羊皮纸，可用于“圣石漆盘”。
60211,1,1,1,0,103,18,6000,0,0,稀有金卡曹操，魏国君主
60212,1,14,1,0,103,18,6000,0,0,稀有金卡孙坚，吴国君主
60213,1,18,1,0,103,18,6000,0,0,稀有金卡刘备，蜀国君主
60214,1,21,1,0,103,18,6000,0,0,稀有金卡董卓，群雄君主
60215,1,476,1,0,103,18,15000,0,0,小乔升星印，可与金卡小乔合成临江小乔
60101,1,7006,1,0,103,18,500,0,0,天命卡，可以用于兑换限定卡
60102,1,464,1,0,103,18,10000,0,0,大乔升星印，可与金卡大乔合成望月大乔
60103,1,443,1,0,103,18,10000,0,0,鲁肃升星印，可与金卡鲁肃合成缔盟鲁肃
60104,34,0,1,0,103,18,250,0,0,金钥匙，珍贵的黄金钥匙，可用开启“战器寻宝”中的至尊宝箱。
60105,200,58,1000,0,103,18,400,0,0,淬炼石，可以改变某个单独词条。
60106,38,0,5,0,103,18,200,0,0,板砖，可以在机关人处使用，有机会砸出大量卡魂或血玉。
60107,1,7011,5,0,103,18,600,0,0,将魂经验卡，可提升将魂经验
60108,55,0,200,0,103,18,400,0,0,神眷点，在竞技场的战斗中获得，用于神眷抽卡。
60109,29,0,2,0,103,18,100,0,0,血玉，含有绝世武将精血的玉石，可用来提升钻石武将，战器的等级。
60110,105,5007,1,0,103,18,3000,0,0,可解锁鞭炮齐鸣头像框
60112,1,464,1,0,103,19,10000,0,0,大乔升星印，可与金卡大乔合成望月大乔
60113,1,473,1,0,103,19,10000,0,0,夏侯渊升星印，可与金卡夏侯渊合成虎步夏侯渊
60114,1,74,1,0,103,19,300,0,0,稀有金卡大乔
60115,1,17,1,0,103,19,300,0,0,稀有金卡夏侯渊
60116,27,0,5,0,103,19,300,0,0,银币，刻有奇怪符号的银币，可以用于“钻石招募”。
60117,26,0,5,0,103,19,950,0,0,金币，刻有奇怪符号的金币，可以用于“精选招募”。
60118,53,0,5,0,103,19,1200,0,0,玉牌，可以在购买兵书时代替钻石花费。
60119,29,0,5,0,103,19,750,0,0,含有绝世武将精血的玉石，可用来提升钻石武将的等级。
60120,23,0,20,0,103,19,400,0,0,传承卷，一张刻有古老文字的羊皮纸，可用于“武将传承”。
60121,54,0,5,0,103,19,750,0,0,保底券，使用此券进行战器强化失败后不会降低战器强化等级
60122,200,60,20,0,103,19,400,0,0,石精，用于强化兵符
60123,200,62,100,0,103,19,500,0,0,陨铁，用于修复兵符
60124,1,245,1,0,103,20,60,0,0,稀有金卡黄舞蝶
60125,1,251,1,0,103,20,60,0,0,稀有金卡于吉
60126,1,468,1,0,103,20,3600,0,0,黄舞蝶升星印，可与金卡黄舞蝶合成惊鸿黄舞蝶
60127,1,481,1,0,103,20,3600,0,0,于吉升星印，可与金卡于吉合成妖仙于吉
60128,1,7006,1,0,103,20,200,0,0,天命卡，可以用于兑换限定卡
60129,36,1,1200,0,103,20,80,0,0,可以在派遣商店兑换专属战器碎片。
60130,200,67,1,0,103,20,36,0,0,刻着象征幸运的四叶草，用于幸运抽卡
60131,200,68,10,0,103,20,10,0,0,散发着紫色光芒的宝石，可用于洗练兵符。
60132,28,0,5,0,103,20,20,0,0,刻有天命之印的玉石，可以用于武将的“升星”。
60133,23,0,20,0,103,20,80,0,0,传承卷，一张刻有古老文字的羊皮纸，可用于“武将传承”。
61001,105,5008,1,0,200,70,6800,0,0,可解锁红枫祝酒头像框
61002,105,5007,1,0,200,70,6800,0,0,可解锁鞭炮齐鸣头像框
61003,105,5011,1,0,200,70,8800,0,0,可解锁中秋花影头像框
100001,1,493,1,0,202,1,28000,0,0,用于【华佗】觉醒的武将印
100002,1,247,1,0,202,1,500,0,0,【华佗】金卡武将
100003,202,1,100,0,5,0,150,0,0,用于购买【觉醒印·华佗】的活动积分，可以参与相关活动获得
60134,200,67,5,0,19,0,100,0,0,用于幸运抽卡
60135,200,74,100,0,19,0,2,0,0,用于战意系统时间加速
60136,2,0,5000000,0,19,0,60,0,0,用于强化武将、战器
60137,34,0,1,0,19,0,70,0,0,用于10连【战器招募】
60138,3,0,300,0,19,0,15,0,0,用于副本、富商、挑战等
60139,200,72,200,0,19,0,10,0,0,用于战意系统武将训练
71001,103,22,100,0,5,0,150,0,0,庆典积分，可用于庆典商店及精选商店购买各种稀有物品
71002,2,0,100000,0,103,22,50,0,0,卡魂，卡魂可用于加强武将能力、升级封地等级等
71003,200,59,1,0,103,22,300,0,0,重置券，可以改变战器的词条数量。
71004,54,0,5,0,103,22,1500,0,0,保底券，使用此券进行战器强化失败后不会降低战器强化等级
71005,24,0,5,0,103,22,450,0,0,漆盘卷，一张刻有古老文字的羊皮纸，可用于“圣石漆盘”。
71006,29,0,1,0,103,22,300,0,0,血玉，含有绝世武将精血的玉石，可用来提升钻石武将，战器的等级。
71007,27,0,5,0,103,22,600,0,0,银币，刻有奇怪符号的银币，可以用于“钻石招募”。
71008,26,0,5,0,103,22,1900,0,0,金币，刻有奇怪符号的金币，可以用于“精选招募”。
71009,28,0,30,0,103,22,1200,0,0,印玉，刻有天命之印的玉石，可以用于武将的“升星”。
71101,1,534,1,0,103,22,3000,0,0,5周年纪念武将“虎步夏侯渊”
71102,1,535,1,0,103,22,3000,0,0,5周年纪念武将“惊鸿黄舞蝶”
71103,1,536,1,0,103,22,3000,0,0,5周年纪念武将“血痕周泰”
71104,1,537,1,0,103,22,3000,0,0,5周年纪念武将“妖仙于吉”
71105,105,5013,1,0,103,22,6800,0,0,可解锁同舟共济头像框
72001,1,459,1,0,103,21,15000,0,0,武将“游侠甘宁纪念版”
72002,1,460,1,0,103,21,15000,0,0,武将“思召袁绍纪念版”
