序号|战法(ID要小于10000),邮件类型,文本索引,文本标题,文本内容,发送者,附件类型,附件数量
948,1,948,月度登陆猛将来临,尊敬的主公：\n感谢您参加【月度登陆猛将来临】活动，活动期间，您累计登陆18天，获得武将颜良，请点击附件进行领取,活动系统,948,1
949,1,949,月度登陆猛将来临,尊敬的主公：\n感谢您参加【月度登陆猛将来临】活动，活动期间，您累计登陆27天，获得武将金卡马超+觉醒印·马超，请点击附件进行领取,活动系统,949,2
950,1,950,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募20次，获得玄武石*10，朱雀石*10，请点击附件进行领取,活动系统,950,2
951,1,951,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募50次，获得印玉*70，朱雀石*30，请点击附件进行领取,活动系统,951,2
952,1,952,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募70次，获得白虎石*50，血玉*20，请点击附件进行领取,活动系统,952,2
953,1,953,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募100次，获得传承券*30，青龙石*40，请点击附件进行领取,活动系统,953,2
954,1,954,消耗惊喜神将来临,尊敬的主公：\n感谢您参加【消耗惊喜神将来临】活动，活动期间，您累计消耗2888钻石，获得朱雀石*10，卡魂*100000，请点击附件进行领取,活动系统,954,2
955,1,955,消耗惊喜神将来临,尊敬的主公：\n感谢您参加【消耗惊喜神将来临】活动，活动期间，您累计消耗8888钻石，获得玄武石*60，银币*10，请点击附件进行领取,活动系统,955,2
956,1,956,消耗惊喜神将来临,尊敬的主公：\n感谢您参加【消耗惊喜神将来临】活动，活动期间，您累计消耗14888钻石，获得青龙石*40，金钥匙*4，请点击附件进行领取,活动系统,956,2
957,1,957,周享礼包好时节到,尊敬的主公：\n感谢您参加【周享礼包好时节到】活动，活动期间，您累计充值1000钻石，获得银币*10，请点击附件进行领取,活动系统,957,1
958,1,958,招募惊喜玉牌来伴,尊敬的主公：\n感谢您参加【招募惊喜玉牌来伴】活动，活动期间，您累计190钻石精选招募次数20次，获得玄武石*50，卡魂50W，请点击附件进行领取,活动系统,958,1
959,1,959,招募惊喜玉牌来伴,尊敬的主公：\n感谢您参加【招募惊喜玉牌来伴】活动，活动期间，您累计190钻石精选招募次数40次，获得印玉*100，白虎石*60，请点击附件进行领取,活动系统,959,2
960,1,960,招募惊喜玉牌来伴,尊敬的主公：\n感谢您参加【招募惊喜玉牌来伴】活动，活动期间，您累计190钻石精选招募次数70次，获得血玉*60，朱雀石*70，请点击附件进行领取,活动系统,960,2
961,1,961,招募惊喜玉牌来伴,尊敬的主公：\n感谢您参加【招募惊喜玉牌来伴】活动，活动期间，您累计190钻石精选招募次数90次，获得青龙石*90，玉牌*20，请点击附件进行领取,活动系统,961,2
962,1,962,周享好礼兵临城下,尊敬的主公：\n感谢您参加【周享好礼兵临城下】活动，活动期间，您累计充值1600钻石，获得玉牌*5，请点击附件进行领取,活动系统,962,1
963,1,963,血玉生风兵不血刃,尊敬的主公：\n感谢您参加【血玉生风兵不血刃】活动，活动期间，您累计充值2860钻石，获得朱雀石*20，卡魂*100000，请点击附件进行领取,活动系统,963,2
964,1,964,血玉生风兵不血刃,尊敬的主公：\n感谢您参加【血玉生风兵不血刃】活动，活动期间，您累计充值6860钻石，获得玄武石*60，印玉*100，请点击附件进行领取,活动系统,964,2
965,1,965,血玉生风兵不血刃,尊敬的主公：\n感谢您参加【血玉生风兵不血刃】活动，活动期间，您累计充值8860钻石，获得青龙石*30，白虎石*30，请点击附件进行领取,活动系统,965,2
966,1,966,血玉生风兵不血刃,尊敬的主公：\n感谢您参加【血玉生风兵不血刃】活动，活动期间，您累计充值15860钻石，获得血玉*30，玉牌*20，请点击附件进行领取,活动系统,966,2
967,1,967,周享礼包好时节到,尊敬的主公：\n感谢您参加【周享礼包好时节到】活动，活动期间，您累计充值1300钻石，获得银币*5，玉牌*2，请点击附件进行领取,活动系统,967,2
968,1,968,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募20次，获得玄武石*10，卡魂*20W，请点击附件进行领取,活动系统,968,2
969,1,969,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募50次，获得印玉*70，朱雀石*30，请点击附件进行领取,活动系统,969,2
970,1,970,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募70次，获得白虎石*50，金钥匙*5，请点击附件进行领取,活动系统,970,2
971,1,971,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募120次，获得血玉*40，青龙石*40，请点击附件进行领取,活动系统,971,2
972,1,972,乐消迎喜循环好礼,尊敬的主公：\n感谢您参加【乐消迎喜循环好礼】活动，活动期间，您每累计消耗666钻石，即可获得印玉*10，血玉*2，您本次消费共可获得以下奖励，请点击附件进行领取,活动系统,972,2
973,1,973,招募惊喜血玉生威,尊敬的主公：\n感谢您参加【招募惊喜血玉生威】活动，活动期间，您累计190钻石精选招募次数20次，获得印玉*50，卡魂50W，请点击附件进行领取,活动系统,973,2
974,1,974,招募惊喜血玉生威,尊敬的主公：\n感谢您参加【招募惊喜血玉生威】活动，活动期间，您累计190钻石精选招募次数40次，获得玄武石*60，白虎石*60，请点击附件进行领取,活动系统,974,2
975,1,975,招募惊喜血玉生威,"尊敬的主公：\n感谢您参加【招募惊喜血玉生威】活动，活动期间，您累计190钻石精选招募次数70次，获得血玉*40,朱雀石*80，请点击附件进行领取",活动系统,975,2
976,1,976,招募惊喜血玉生威,"尊敬的主公：\n感谢您参加【招募惊喜血玉生威】活动，活动期间，您累计190钻石精选招募次数90次，获得玉牌*25,血玉*50，请点击附件进行领取",活动系统,976,2
977,1,977,周享礼包好时节到,尊敬的主公：\n感谢您参加【周享礼包好时节到】活动，活动期间，您累计充值1000钻石，获得金币*5，请点击附件进行领取,活动系统,977,1
978,1,978,乐消迎喜循环好礼,尊敬的主公：\n感谢您参加【乐消迎喜循环好礼】活动，活动期间，您每累计消耗666钻石，即可获得印玉*10，血玉*2，您本次消费共可获得以下奖励，请点击附件进行领取,活动系统,978,2
979,1,979,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第1名，获得排名奖励：觉醒印和堕天印，大量印玉，金币10枚，漆盘券20张以及血玉30枚，请查收附件领取~~,竞技场系统,979,6
980,1,980,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第2-5名，获得排名奖励：觉醒印和堕天印，少量印玉，金币10枚，漆盘券20张以及血玉15枚，请查收附件领取~~,竞技场系统,980,6
981,1,981,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第6-10名，获得排名奖励：随机觉醒印或堕天印，少量印玉，金币10枚，漆盘券20张以及血玉5枚，请查收附件领取~~,竞技场系统,981,5
982,1,982,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第6-10名，获得排名奖励：随机觉醒印或堕天印，少量印玉，金币10枚，漆盘券20张以及血玉5枚，请查收附件领取~~,竞技场系统,982,5
983,1,983,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第11-20名，获得排名奖励：金币10枚，漆盘券15张，请查收附件领取~,竞技场系统,983,2
984,1,984,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第21-50名，获得排名奖励：金币8枚，漆盘券10张，请查收附件领取~,竞技场系统,984,2
985,1,985,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第51-100名，获得排名奖励：金币5枚，漆盘券5张，请查收附件领取~,竞技场系统,985,2
986,1,986,月度登陆猛将来临,尊敬的主公：\n感谢您参加【月度登陆猛将来临】活动，活动期间，您累计登陆3天，获得卡魂*8w，请点击附件进行领取,活动系统,986,1
987,1,987,月度登陆猛将来临,尊敬的主公：\n感谢您参加【月度登陆猛将来临】活动，活动期间，您累计登陆5天，获得银币*3，请点击附件进行领取,活动系统,987,1
988,1,988,月度登陆猛将来临,尊敬的主公：\n感谢您参加【月度登陆猛将来临】活动，活动期间，您累计登陆7天，获得玉牌*1，请点击附件进行领取,活动系统,988,1
989,1,989,月度登陆猛将来临,尊敬的主公：\n感谢您参加【月度登陆猛将来临】活动，活动期间，您累计登陆19天，获得武将张飞，请点击附件进行领取,活动系统,989,1
990,1,990,月度登陆猛将来临,尊敬的主公：\n感谢您参加【月度登陆猛将来临】活动，活动期间，您累计登陆27天，获得武将金卡曹仁+觉醒印·曹仁，请点击附件进行领取,活动系统,990,2
991,1,991,周享礼包好时节到,尊敬的主公：\n感谢您参加【周享礼包好时节到】活动，活动期间，您累计充值800钻石，获得银币*10，请点击附件进行领取,活动系统,991,1
992,1,992,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募20次，获得玄武石*10，卡魂*20W，请点击附件进行领取,活动系统,992,2
993,1,993,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募50次，获得白虎石*30，朱雀石*30，请点击附件进行领取,活动系统,993,2
994,1,994,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募70次，获得青龙石*30，血玉*20，请点击附件进行领取,活动系统,994,2
995,1,995,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募120次，获得血玉*40，印玉*100，请点击附件进行领取,活动系统,995,2
996,1,996,五一消消乐,尊敬的主公：\n感谢您参加【五一消消乐】活动，活动期间，您每累计消耗420钻石，即可获得血玉*2，玄武石*10，您本次消费共可获得以下奖励，请点击附件进行领取,活动系统,996,2
997,1,997,招募惊喜好礼相送,尊敬的主公：\n感谢您参加【招募惊喜好礼相送】活动，活动期间，您累计190钻石精选招募次数20次，获得玄武石*80，卡魂50W，请点击附件进行领取,活动系统,997,2
998,1,998,招募惊喜好礼相送,尊敬的主公：\n感谢您参加【招募惊喜好礼相送】活动，活动期间，您累计190钻石精选招募次数50次，获得印玉*100，金钥匙*10，请点击附件进行领取,活动系统,998,2
999,1,999,招募惊喜好礼相送,尊敬的主公：\n感谢您参加【招募惊喜好礼相送】活动，活动期间，您累计190钻石精选招募次数70次，获得传承券*80，朱雀石*80，请点击附件进行领取,活动系统,999,2
1000,1,1000,招募惊喜好礼相送,尊敬的主公：\n感谢您参加【招募惊喜好礼相送】活动，活动期间，您累计190钻石精选招募次数90次，获得青龙石*80，白虎石*100，请点击附件进行领取,活动系统,1000,2
1001,1,1001,周享礼包好时节到,尊敬的主公：\n感谢您参加【周享礼包好时节到】活动，活动期间，您累计充值1000钻石，获得金币*5，请点击附件进行领取,活动系统,1001,1
1002,1,1002,天降神兵威风八面,尊敬的主公：\n感谢您参加【天降神兵威风八面】活动，活动期间，您累计购买兵书10次，获得玄武石*50，卡魂10W，请点击附件进行领取,活动系统,1002,2
1003,1,1003,天降神兵威风八面,尊敬的主公：\n感谢您参加【天降神兵威风八面】活动，活动期间，您累计购买兵书20次，获得金币*5，六韬•金鼓•残本*1，请点击附件进行领取,活动系统,1003,2
1004,1,1004,天降神兵威风八面,尊敬的主公：\n感谢您参加【天降神兵威风八面】活动，活动期间，您累计购买兵书40次，获得六韬•武锋•残本*1，请点击附件进行领取,活动系统,1004,1
1005,1,1005,溶血成玉声名远扬,尊敬的主公：\n感谢您参加【溶血成玉声名远扬】活动，活动期间，您每累计充值500钻石，即可获得血玉*3，声望*400，您本次充值共可获得以下奖励，请点击附件进行领取,活动系统,1005,2
1006,1,1006,周享礼包好时节到,尊敬的主公：\n感谢您参加【周享礼包好时节到】活动，活动期间，您累计充值500钻石，获得银币*6，请点击附件进行领取,活动系统,1006,1
1007,1,1007,招募惊喜好礼来伴,"尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募15次，获得卡魂*10W,印玉*20，请点击附件进行领取",活动系统,1007,2
1008,1,1008,招募惊喜好礼来伴,"尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募40次，获得银钥匙*20,朱雀石*30，请点击附件进行领取",活动系统,1008,2
1009,1,1009,招募惊喜好礼来伴,"尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募70次，获得青龙石*30,声望*2000，请点击附件进行领取",活动系统,1009,2
1010,1,1010,招募惊喜好礼来伴,"尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募100次，获得血玉*40,玉牌*10，请点击附件进行领取",活动系统,1010,2
1011,1,1011,乐消迎喜循环好礼,尊敬的主公：\n感谢您参加【乐消迎喜循环好礼】活动，活动期间，您每累计消耗600钻石，即可获得印玉*10，血玉*2，您本次消费共可获得以下奖励，请点击附件进行领取,活动系统,1011,2
1012,1,1012,招募惊喜好礼相送,"尊敬的主公：\n感谢您参加【招募惊喜好礼相送】活动，活动期间，您累计190钻石精选招募次数10次，获得印玉*20,卡魂30W，请点击附件进行领取",活动系统,1012,2
1013,1,1013,招募惊喜好礼相送,"尊敬的主公：\n感谢您参加【招募惊喜好礼相送】活动，活动期间，您累计190钻石精选招募次数30次，获得声望*2000,金钥匙*5，请点击附件进行领取",活动系统,1013,2
1014,1,1014,招募惊喜好礼相送,"尊敬的主公：\n感谢您参加【招募惊喜好礼相送】活动，活动期间，您累计190钻石精选招募次数50次，获得传承券*70,青龙石*30，请点击附件进行领取",活动系统,1014,2
1015,1,1015,招募惊喜好礼相送,"尊敬的主公：\n感谢您参加【招募惊喜好礼相送】活动，活动期间，您累计190钻石精选招募次数70次，获得血玉*50,白虎石*30，请点击附件进行领取",活动系统,1015,2
1016,1,1016,周享礼包好时节到,尊敬的主公：\n感谢您参加【周享礼包好时节到】活动，活动期间，您累计充值1000钻石，获得金币*5，请点击附件进行领取,活动系统,1016,1
1017,1,1017,6元惊喜限时大礼,"尊敬的主公：\n感谢您参加【6元惊喜限时大礼】活动，活动期间，您累计充值60钻石，获得钻石*60,银币*1,军令*20，请点击附件进行领取",活动系统,1017,3
1018,1,1018,周享礼包好时节到,尊敬的主公：\n感谢您参加【周享礼包好时节到】活动，活动期间，您累计充值500钻石，获得银币*5，请点击附件进行领取,活动系统,1018,1
1019,1,1019,招募惊喜好礼来伴,"尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募10次，获得卡魂*30W,玄武石*20，请点击附件进行领取",活动系统,1019,2
1020,1,1020,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募30次，获得印玉*40，银钥匙*10，请点击附件进行领取,活动系统,1020,2
1021,1,1021,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募50次，获得传承券*30，声望*1000，请点击附件进行领取,活动系统,1021,2
1022,1,1022,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募90次，获得血玉*30，传承券*30，请点击附件进行领取,活动系统,1022,2
1023,1,1023,乐消迎喜循环好礼,尊敬的主公：\n感谢您参加【乐消迎喜循环好礼】活动，活动期间，您每累计消耗600钻石，即可获得传承券*3，血玉*2，您本次消费共可获得以下奖励，请点击附件进行领取,活动系统,1023,2
1024,1,1024,6元惊喜限时大礼,"尊敬的主公：\n感谢您参加【6元惊喜限时大礼】活动，活动期间，您累计充值60钻石，获得钻石*60,银币*1,军令*20，请点击附件进行领取",活动系统,1024,3
1025,1,1025,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第1名，获得排名奖励：觉醒印和堕天印，大量印玉，金币10枚，漆盘券20张以及血玉30枚，请查收附件领取~~,竞技场系统,1025,6
1026,1,1026,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第2-5名，获得排名奖励：觉醒印和堕天印，少量印玉，金币10枚，漆盘券20张以及血玉15枚，请查收附件领取~~,竞技场系统,1026,6
1027,1,1027,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第6-10名，获得排名奖励：随机觉醒印或堕天印，少量印玉，金币10枚，漆盘券20张以及血玉5枚，请查收附件领取~~,竞技场系统,1027,5
1028,1,1028,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第6-10名，获得排名奖励：随机觉醒印或堕天印，少量印玉，金币10枚，漆盘券20张以及血玉5枚，请查收附件领取~~,竞技场系统,1028,5
1029,1,1029,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第11-20名，获得排名奖励：金币10枚，漆盘券15张，请查收附件领取~,竞技场系统,1029,2
1030,1,1030,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第21-50名，获得排名奖励：金币8枚，漆盘券10张，请查收附件领取~,竞技场系统,1030,2
1031,1,1031,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第51-100名，获得排名奖励：金币5枚，漆盘券5张，请查收附件领取~,竞技场系统,1031,2
1032,1,1032,月度登陆感古苍穹,尊敬的主公：\n感谢您参加【月度登陆感古苍穹】活动，活动期间，您累计登陆3天，获得卡魂*8w，请点击附件进行领取,活动系统,1032,1
1033,1,1033,月度登陆感古苍穹,尊敬的主公：\n感谢您参加【月度登陆感古苍穹】活动，活动期间，您累计登陆5天，获得银币*3，请点击附件进行领取,活动系统,1033,1
1034,1,1034,月度登陆感古苍穹,尊敬的主公：\n感谢您参加【月度登陆感古苍穹】活动，活动期间，您累计登陆7天，获得玉牌*1，请点击附件进行领取,活动系统,1034,1
1035,1,1035,月度登陆感古苍穹,尊敬的主公：\n感谢您参加【月度登陆感古苍穹】活动，活动期间，您累计登陆19天，获得武将步练师，请点击附件进行领取,活动系统,1035,1
1036,1,1036,月度登陆感古苍穹,尊敬的主公：\n感谢您参加【月度登陆感古苍穹】活动，活动期间，您累计登陆27天，获得武将金卡太史慈+堕天印·太史慈，请点击附件进行领取,活动系统,1036,2
1037,1,1037,招募惊喜好礼相送,尊敬的主公：\n感谢您参加【招募惊喜好礼相送】活动，活动期间，您累计190钻石精选招募次数10次，获得卡魂50W，玄武石*20，请点击附件进行领取,活动系统,1037,2
1038,1,1038,招募惊喜好礼相送,尊敬的主公：\n感谢您参加【招募惊喜好礼相送】活动，活动期间，您累计190钻石精选招募次数30次，获得声望*2000，印玉*100，请点击附件进行领取,活动系统,1038,2
1039,1,1039,招募惊喜好礼相送,尊敬的主公：\n感谢您参加【招募惊喜好礼相送】活动，活动期间，您累计190钻石精选招募次数50次，获得传承券*70，青龙石*20，请点击附件进行领取,活动系统,1039,2
1040,1,1040,招募惊喜好礼相送,尊敬的主公：\n感谢您参加【招募惊喜好礼相送】活动，活动期间，您累计190钻石精选招募次数80次，获得血玉*50，玉牌*10，请点击附件进行领取,活动系统,1040,2
1041,1,1041,周享礼包好时节到,尊敬的主公：\n感谢您参加【周享礼包好时节到】活动，活动期间，您累计充值800钻石，获得金币*5，请点击附件进行领取,活动系统,1041,1
1042,1,1042,6元惊喜限时大礼,"尊敬的主公：\n感谢您参加【6元惊喜限时大礼】活动，活动期间，您累计充值60钻石，获得钻石*60,印玉*5,军令*20，请点击附件进行领取",活动系统,1042,3
1043,1,1043,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募10次，获得卡魂*30W，玄武石*20，请点击附件进行领取,活动系统,1043,2
1044,1,1044,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募30次，获得印玉*40，朱雀石*20，请点击附件进行领取,活动系统,1044,2
1045,1,1045,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募50次，获得玉牌*5，声望*2000，请点击附件进行领取,活动系统,1045,2
1046,1,1046,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募90次，获得血玉*40，传承券*40，请点击附件进行领取,活动系统,1046,2
1047,1,1047,周享礼包好时节到,尊敬的主公：\n感谢您参加【周享礼包好时节到】活动，活动期间，您累计充值900钻石，获得银币*9，请点击附件进行领取,活动系统,1047,1
1048,1,1048,天降神兵威风八面,尊敬的主公：\n感谢您参加【天降神兵威风八面】活动，活动期间，您累计购买兵书10次，获得六韬•文伐•残篇*1，传承券*10，请点击附件进行领取,活动系统,1048,2
1049,1,1049,天降神兵威风八面,尊敬的主公：\n感谢您参加【天降神兵威风八面】活动，活动期间，您累计购买兵书20次，获得六韬•金鼓•残本*1，六韬•军略•残本*1，请点击附件进行领取,活动系统,1049,2
1050,1,1050,天降神兵威风八面,尊敬的主公：\n感谢您参加【天降神兵威风八面】活动，活动期间，您累计购买兵书30次，获得六韬•文伐•残本*1，六韬•三疑•残本*1，请点击附件进行领取,活动系统,1050,1
1051,1,1051,6元惊喜限时大礼,"尊敬的主公：\n感谢您参加【6元惊喜限时大礼】活动，活动期间，您累计充值60钻石，获得钻石*60,印玉*5,军令*20，请点击附件进行领取",活动系统,1051,3
1052,1,1052,端午时节再战天下,尊敬的主公：\n感谢您参加【端午时节再战天下】活动，活动期间，您通过了第5章，获得圣石漆盘券*5，请点击附件进行领取,活动系统,1052,1
1053,1,1053,端午时节再战天下,尊敬的主公：\n感谢您参加【端午时节再战天下】活动，活动期间，您通过了第8章，获得银币*4，请点击附件进行领取,活动系统,1053,1
1054,1,1054,端午时节再战天下,尊敬的主公：\n感谢您参加【端午时节再战天下】活动，活动期间，您通过了第15章，获得金币*2，请点击附件进行领取,活动系统,1054,1
1055,1,1055,端午时节再战天下,尊敬的主公：\n感谢您参加【端午时节再战天下】活动，活动期间，您通过了第18章，获得传承券*10，请点击附件进行领取,活动系统,1055,1
1056,1,1056,招募惊喜好礼相送,"尊敬的主公：\n感谢您参加【招募惊喜好礼相送】活动，活动期间，您累计190钻石精选招募次数10次，获得卡魂50W,白虎石*10，请点击附件进行领取",活动系统,1056,2
1057,1,1057,招募惊喜好礼相送,"尊敬的主公：\n感谢您参加【招募惊喜好礼相送】活动，活动期间，您累计190钻石精选招募次数30次，获得血玉*15,传承券*30，请点击附件进行领取",活动系统,1057,2
1058,1,1058,招募惊喜好礼相送,"尊敬的主公：\n感谢您参加【招募惊喜好礼相送】活动，活动期间，您累计190钻石精选招募次数50次，获得传承券*70,青龙石*30，请点击附件进行领取",活动系统,1058,2
1059,1,1059,招募惊喜好礼相送,"尊敬的主公：\n感谢您参加【招募惊喜好礼相送】活动，活动期间，您累计190钻石精选招募次数80次，获得血玉*50,玉牌*10，请点击附件进行领取",活动系统,1059,2
1060,1,1060,周享礼包好时节到,尊敬的主公：\n感谢您参加【周享礼包好时节到】活动，活动期间，您累计充值1000钻石，获得金币*5，请点击附件进行领取,活动系统,1060,1
1061,1,1061,6元惊喜限时大礼,"尊敬的主公：\n感谢您参加【6元惊喜限时大礼】活动，活动期间，您累计充值60钻石，获得钻石*60,印玉*5,军令*20，请点击附件进行领取",活动系统,1061,3
1062,1,1062,乐消迎喜循环好礼,"尊敬的主公：\n感谢您参加【乐消迎喜循环好礼】活动，活动期间，您每累计消耗500钻石，即可获得传承券*5,声望*300，您本次消费共可获得以下奖励，请点击附件进行领取",活动系统,1062,2
1063,1,1063,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募10次，获得卡魂*30W，玄武石*20，请点击附件进行领取,活动系统,1063,2
1064,1,1064,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募30次，获得银钥匙*10，白虎石*20，请点击附件进行领取,活动系统,1064,2
1065,1,1065,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募50次，获得玉牌*5，传承券*30，请点击附件进行领取,活动系统,1065,2
1066,1,1066,招募惊喜好礼来伴,尊敬的主公：\n感谢您参加【招募惊喜好礼来伴】活动，活动期间，您累计60钻石招募90次，获得血玉*40，传承券*50，请点击附件进行领取,活动系统,1066,2
1067,1,1067,周享礼包好时节到,尊敬的主公：\n感谢您参加【周享礼包好时节到】活动，活动期间，您累计充值1000钻石，获得银币*10，请点击附件进行领取,活动系统,1067,1
1068,1,1068,天降神兵威风八面,尊敬的主公：\n感谢您参加【天降神兵威风八面】活动，活动期间，您累计购买兵书5次，获得六韬•军略•残篇*1，请点击附件进行领取,活动系统,1068,1
1069,1,1069,天降神兵威风八面,尊敬的主公：\n感谢您参加【天降神兵威风八面】活动，活动期间，您累计购买兵书10次，获得六韬•文伐•残篇*1，声望*1000，请点击附件进行领取,活动系统,1069,2
1070,1,1070,天降神兵威风八面,尊敬的主公：\n感谢您参加【天降神兵威风八面】活动，活动期间，您累计购买兵书15次，获得六韬•武锋•残篇*1，传承券*10，请点击附件进行领取,活动系统,1070,2
1071,1,1071,天降神兵威风八面,尊敬的主公：\n感谢您参加【天降神兵威风八面】活动，活动期间，您累计购买兵书20次，获得六韬•三疑•残本*1，金钥匙*2，请点击附件进行领取,活动系统,1071,2
1072,1,1072,6元惊喜限时大礼,尊敬的主公：\n感谢您参加【6元惊喜限时大礼】活动，活动期间，您累计充值60钻石，获得钻石*60，声望*50，传承券*1，请点击附件进行领取,活动系统,1072,3
1073,1,1073,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第1名，获得排名奖励：觉醒印和堕天印，大量印玉，金币10枚，漆盘券20张以及血玉30枚，请查收附件领取~~,竞技场系统,1073,6
1074,1,1074,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第2-5名，获得排名奖励：觉醒印和堕天印，少量印玉，金币10枚，漆盘券20张以及血玉15枚，请查收附件领取~~,竞技场系统,1074,6
1075,1,1075,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第6-10名，获得排名奖励：随机觉醒印或堕天印，少量印玉，金币10枚，漆盘券20张以及血玉5枚，请查收附件领取~~,竞技场系统,1075,5
1076,1,1076,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第6-10名，获得排名奖励：随机觉醒印或堕天印，少量印玉，金币10枚，漆盘券20张以及血玉5枚，请查收附件领取~~,竞技场系统,1076,5
1077,1,1077,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第11-20名，获得排名奖励：金币10枚，漆盘券15张，请查收附件领取~,竞技场系统,1077,2
1078,1,1078,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第21-50名，获得排名奖励：金币8枚，漆盘券10张，请查收附件领取~,竞技场系统,1078,2
1079,1,1079,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第51-100名，获得排名奖励：金币5枚，漆盘券5张，请查收附件领取~,竞技场系统,1079,2
1080,1,1080,招募惊喜好礼相送,尊敬的主公：\n感谢您参加【招募惊喜好礼相送】活动，活动期间，您累计190钻石精选招募次数10次，获得卡魂60W，白虎石*10，请点击附件进行领取,活动系统,1080,2
1081,1,1081,招募惊喜好礼相送,尊敬的主公：\n感谢您参加【招募惊喜好礼相送】活动，活动期间，您累计190钻石精选招募次数30次，获得声望*2000，金钥匙*5，请点击附件进行领取,活动系统,1081,2
1082,1,1082,招募惊喜好礼相送,尊敬的主公：\n感谢您参加【招募惊喜好礼相送】活动，活动期间，您累计190钻石精选招募次数50次，获得传承券*70，血玉*25，请点击附件进行领取,活动系统,1082,2
